INPUT-MOL-IDX,INPUT-MOL-SMI,GEN-MOL-SMI,LEAVING-FRAG-SMI,INSERTING-FRAG-SMI,PREDICTED-PROB,LOGP,MW,QED,SA,PROPERTY_CONDITION,CASE
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(=O)N(CCNCc1ccc(Cl)c(Cl)c1)c1cc(=O)c2ccccc2[nH]1,[4*]CC([4*])CN[5*],[1*]C(=O)N([5*])CC[4*],0.007753761950880289,4.112700000000003,432.111981304,0.5752606235341711,2.6535008189571236,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,COc1cc(F)c(F)cc1CNCC(CNc1cc(=O)c2ccccc2[nH]1)N(C)C,[16*]c1ccc(Cl)c(Cl)c1,[16*]c1cc(F)c(F)cc1OC,0.0028952271677553654,2.9468000000000005,416.20238251200004,0.5004927932860781,3.194243587174034,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,COc1cc(F)cc(F)c1CNCC(CNc1cc(=O)c2ccccc2[nH]1)N(C)C,[16*]c1ccc(Cl)c(Cl)c1,[16*]c1c(F)cc(F)cc1OC,0.0028948886319994926,2.9468000000000014,416.20238251200004,0.5004927932860781,3.2752831476135933,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(CNCc1ccoc1Br)CNc1cc(=O)c2ccccc2[nH]1,[16*]c1ccc(Cl)c(Cl)c1,[16*]c1ccoc1Br,0.002894532633945346,3.0155000000000003,418.10043807600005,0.5237218583195717,3.440645450195909,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CONC(=N)c1cccnc1,[5*]Nc1cc(=O)c2ccccc2[nH]1,[3*]ONC(=N)c1cccnc1,0.0019670461770147085,2.9549700000000003,395.12796571600006,0.34539631934237014,3.382302212648561,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,O=c1cc(NC(c2ccc(Cl)c(Cl)c2)C2CS(=O)(=O)C2)[nH]c2ccccc12,[4*]CC(CNC[8*])N(C)C,[4*]C([8*])C1CS(=O)(=O)C1,0.00191934360191226,4.032700000000003,422.025868732,0.6642944283638313,3.1745336481419963,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,O=c1cc(C(NCc2ccc(Cl)c(Cl)c2)C2CS(=O)(=O)C2)[nH]c2ccccc12,[4*]CC(CN[5*])N(C)C,[4*]C([8*])C1CS(=O)(=O)C1,0.0019160681404173374,3.7104000000000026,436.041518796,0.638104252858148,3.170391088954802,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(CNc1cc(=O)c2ccccc2[nH]1)CNC(CO)c1ccccc1Cl,[4*]Cc1ccc(Cl)c(Cl)c1,[4*]C(CO)c1ccccc1Cl,0.001863166457042098,2.8468,414.182253784,0.4326925799705782,3.4515435068553924,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(CNCc1cccc2nsnc12)CNc1cc(=O)c2ccccc2[nH]1,[4*]Cc1ccc(Cl)c(Cl)c1,[4*]Cc1cccc2nsnc12,0.0018628714606165886,2.6647,408.173230388,0.41561147671174314,3.3745603001328925,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(CNCCc1ccc([N+](=O)[O-])cc1)CNc1cc(=O)c2ccccc2[nH]1,[4*]Cc1ccc(Cl)c(Cl)c1,[4*]CCc1ccc([N+](=O)[O-])cc1,0.0018628236139193177,2.6106999999999996,409.211389724,0.27019432500866136,3.08639447922316,Mw 0.00 / logP -1.00,case1
1,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)CC(NCCCNc1cc(=O)c2ccccc2[nH]1)c1ccc(Cl)c(Cl)c1,[4*]CC([4*])CNC[8*],[4*]CCCNC([8*])C[4*],0.004757889546453953,4.5294000000000025,432.148366812,0.43428447991908453,3.007867429588802,Mw 0.00 / logP 1.00,case1
1,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CC(CCCNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,[4*]CC(C[4*])N(C)C,[4*]CCCC(C)C[4*],0.004562937654554844,5.452900000000004,417.13746778,0.40508276537491456,2.878435038658944,Mw 0.00 / logP 1.00,case1
1,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CC(CCCNc1cc(=O)c2ccccc2[nH]1)CNCc1ccc(Cl)c(Cl)c1,[4*]CC(C[4*])N(C)C,[4*]CCCC(C)C[4*],0.00456207012757659,5.452900000000004,417.13746778,0.40508276537491456,2.874864461735868,Mw 0.00 / logP 1.00,case1
1,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,Cc1ccc2nc(NCC(CNCc3ccc(Cl)c(Cl)c3)N(C)C)ccc2c1,[14*]c1cc(=O)c2ccccc2[nH]1,[14*]c1ccc2cc(C)ccc2n1,0.0024188023526221514,4.981920000000004,416.153452192,0.5423859557193454,2.8889963020474543,Mw 0.00 / logP 1.00,case1
1,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CCn1cncc1C(c1ccc(Cl)c(Cl)c1)(c1cc(=O)c2ccccc2[nH]1)N(C)C,[4*]C(CN[5*])CNC[8*],[4*]C([8*])([8*])c1cncn1CC,0.00204048166051507,4.904800000000006,440.117066684,0.479251569510244,3.449174356404802,Mw 0.00 / logP 1.00,case1
1,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(C(=O)N1CCC(Cc2cc(=O)c3ccccc3[nH]2)CC1)c1ccc(Cl)c(Cl)c1,[4*]C(CN[5*])CNC[8*],[4*]C([8*])C(=O)N1CCC(C[8*])CC1,0.0020181520376354456,4.918900000000004,471.14803246400004,0.573823273097142,3.0075601979306787,Mw 0.00 / logP 1.00,case1
