INPUT-MOL-IDX,INPUT-MOL-SMI,GEN-MOL-SMI,LEAVING-FRAG-SMI,INSERTING-FRAG-SMI,PREDICTED-PROB,LOGP,MW,QED,SA,PROPERTY_CONDITION,CASE
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,C[C@H]1CN(Cc2ccc(Cl)c(Cl)c2)CCN1C(=O)CNc1cc(=O)c2ccccc2[nH]1,[4*]CC(CN[5*])N(C)C,[4*]CC(=O)N1CCN([5*])C[C@@H]1C,0.007756263483315706,3.979700000000002,458.127631368,0.6059788307487685,2.950476354941337,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,COc1cc(F)c(F)cc1CNCC(CNc1cc(=O)c2ccccc2[nH]1)N(C)C,[16*]c1ccc(Cl)c(Cl)c1,[16*]c1cc(F)c(F)cc1OC,0.002784336218610406,2.9468000000000005,416.20238251200004,0.5004927932860781,3.194243587174034,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,COc1cc(F)cc(F)c1CNCC(CNc1cc(=O)c2ccccc2[nH]1)N(C)C,[16*]c1ccc(Cl)c(Cl)c1,[16*]c1c(F)cc(F)cc1OC,0.0027823622804135084,2.9468000000000014,416.20238251200004,0.5004927932860781,3.2752831476135933,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)c1ccc(CNCC(CNc2cc(=O)c3ccccc3[nH]2)N(C)C)c(F)c1,[16*]c1ccc(Cl)c(Cl)c1,[16*]c1ccc(N(C)C)cc1F,0.0027813012711703777,2.865100000000001,411.24343880000004,0.5054476682968205,3.216160070690516,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,O=c1cc(NS(=O)(=O)CCCNCc2ccc(Cl)c(Cl)c2)[nH]c2ccccc12,[4*]CC(CN[5*])N(C)C,[4*]CCCS(=O)(=O)N[5*],0.0020820123609155416,3.7565000000000017,439.05241782800005,0.4655557455210858,2.465711147389051,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CC(C)C1C(=O)NC(=S)N1CC(CNCc1ccc(Cl)c(Cl)c1)N(C)C,[5*]Nc1cc(=O)c2ccccc2[nH]1,[5*]N1C(=S)NC(=O)C1C(C)C,0.001919122296385467,2.754500000000001,416.120437812,0.6374529470440692,3.622359358635941,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,O=c1cc(NC(c2ccc(Cl)c(Cl)c2)C2CS(=O)(=O)C2)[nH]c2ccccc12,[4*]CC(CNC[8*])N(C)C,[4*]C([8*])C1CS(=O)(=O)C1,0.0018777563236653805,4.032700000000003,422.025868732,0.6642944283638313,3.1745336481419963,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,COc1cc(F)c(F)c(CNCC(CNc2cc(=O)c3ccccc3[nH]2)N(C)C)c1,[4*]Cc1ccc(Cl)c(Cl)c1,[4*]Cc1cc(OC)cc(F)c1F,0.0018121883040294051,2.9468000000000014,416.20238251200004,0.5004927932860781,3.239189191569637,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CC(NCC(CNc1cc(=O)c2ccccc2[nH]1)N(C)C)c1ccccc1[N+](=O)[O-],[4*]Cc1ccc(Cl)c(Cl)c1,[4*]C(C)c1ccccc1[N+](=O)[O-],0.001811849419027567,3.1292000000000018,409.211389724,0.370590054139739,3.4529864293829986,Mw 0.00 / logP -1.00,case1
0,CN(C)C(CNCc1ccc(Cl)c(Cl)c1)CNc1cc(=O)c2ccccc2[nH]1,CN(C)C(CNCc1cccc(OCCF)c1)CNc1cc(=O)c2ccccc2[nH]1,[4*]Cc1ccc(Cl)c(Cl)c1,[4*]Cc1cccc(OCCF)c1,0.0018117590807378292,3.0083,412.227454388,0.45175159522719505,3.1788152074142575,Mw 0.00 / logP -1.00,case1
