MOLECULE-A,MOLECULE-B,REMOVAL-FRAG,INSERTION-FRAG,GEN-MOL-SMI,DELTA-LOGP,DELTA-QED,CASE
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1ccc(O)cc1,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccc(O)cc1,0.9825000000000002,0.01516954120989733,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1ccc(C)nc1,Cc1ccc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)cn1,0.9803200000000003,0.08685611784580965,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1ccoc1,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccoc1,0.8699000000000001,0.10177907197845704,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1cccc(O)c1,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cccc(O)c1,0.9825000000000004,0.01516954120989733,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1ccnc(C)c1,Cc1cc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)ccn1,0.9803200000000003,0.08685611784580965,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1cncc(C)c1,Cc1cncc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)c1,0.9803200000000003,0.08685611784580965,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1cccnc1C,Cc1ncccc1C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,0.9803200000000003,0.08685611784580965,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1ccc(C#N)cc1,N#Cc1ccc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)cc1,1.1485800000000002,0.08108271644263748,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1ccccc1O,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1ccccc1O,0.9825000000000002,0.01516954120989733,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[14*]c1cccc(C)n1,Cc1cccc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)n1,0.9803199999999999,0.08685611784580965,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1cccc(C#N)c1,N#Cc1cccc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)c1,1.14858,0.08108271644263748,A $\rightarrow$ B
Cc1nc2ccc(Cl)cc2c(-n2ccc3c(O)cc(-c4cn[nH]c4)cc32)c1C,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)c1cn[nH]c1,[*]c1[c;H1][n;H1][n;H0][c;H1]1,[16*]c1ccc(C(=O)OC)cc1,COC(=O)c1ccc(C(=O)N[C@@H](CS)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)cc1,1.0635000000000001,-0.0665634970558519,A $\rightarrow$ B
