mol_idx seed conf_idx aff
0 2021 1 -7.00575
100 2021 4 -6.861000000000001
101 2021 1 -6.92575
102 2024 24 -7.45975
103 2021 0 -7.20425
104 2022 1 -7.61175
105 2023 52 -9.54
106 2024 2 -8.86225
107 2021 0 -6.67725
108 2021 0 -6.64475
109 2021 22 -7.37875
10 2021 23 -7.1265
110 2023 99 -8.85775
111 2021 0 -7.6835
112 2021 3 -7.0065
113 2025 20 -8.52675
114 2025 10 -8.1575
115 2021 2 -6.96325
116 2021 3 -6.6355
117 2021 0 -6.617
118 2021 3 -7.02775
119 2024 8 -7.78825
11 2021 1 -6.64675
120 2021 0 -5.4055
121 2021 4 -6.348
122 2021 4 -6.46025
123 2021 3 -8.243
124 2021 6 -7.7915
125 2023 34 -7.91775
126 2021 3 -7.543749999999999
127 2021 17 -6.2965
128 2021 0 -7.278
129 2021 1 -6.49
12 2021 2 -7.03975
130 2021 0 -5.64
131 2023 84 -8.34775
132 2021 0 -7.22875
133 2024 2 -8.58775
134 2021 13 -7.2255
135 2021 1 -6.49175
136 2023 5 -6.73625
137 2021 1 -7.78975
138 2021 1 -6.70725
139 2021 10 -8.334999999999999
13 2021 0 -7.3665
140 2021 25 -8.75175
141 2023 30 -8.85775
142 2022 3 -7.15675
143 2021 3 -7.56425
144 2023 80 -8.241
145 2021 0 -6.5175
146 2021 0 -6.390750000000001
147 2021 0 -6.483499999999999
148 2021 11 -7.1899999999999995
149 2021 4 -9.30275
14 2024 15 -7.234
150 2021 12 -6.93475
151 2021 49 -8.241
152 2021 0 -7.15125
153 2021 2 -9.346499999999999
154 2025 3 -7.70875
155 2021 5 -8.161
156 2023 4 -7.356
157 2021 15 -7.311249999999999
158 2021 5 -8.099
159 2021 0 -7.87075
15 2023 0 -7.15775
160 2021 0 -6.78575
161 2021 1 -7.1395
162 2021 0 -8.1725
163 2021 5 -7.393750000000001
164 2021 1 -7.42975
165 2021 0 -5.09425
166 2021 2 -7.1842500000000005
167 2021 14 -6.9015
168 2021 1 -7.24375
169 2021 0 -8.243
16 2021 2 -7.0765
170 2021 6 -7.53475
171 2024 1 -5.5565
172 2021 31 -7.329750000000001
173 2021 0 -6.30525
174 2021 1 -7.79025
175 2021 14 -8.53
176 2021 31 -8.437750000000001
177 2021 12 -7.09375
178 2021 1 -7.366
179 2021 0 -6.6995000000000005
17 2021 2 -7.011
180 2022 0 -8.74875
181 2021 8 -8.016
182 2021 1 -6.92375
183 2021 0 -6.75625
184 2021 1 -7.3004999999999995
185 2021 1 -6.0497499999999995
186 2024 12 -7.574249999999999
187 2023 6 -9.1615
188 2021 3 -7.26175
189 2022 10 -8.0
18 2021 3 -6.76875
190 2021 0 -7.39675
191 2021 10 -8.19225
192 2021 0 -7.602
193 2021 0 -6.3655
194 2021 20 -7.678
195 2022 22 -7.08525
196 2021 10 -9.32625
197 2021 21 -6.89675
198 2023 53 -8.370000000000001
199 2023 31 -9.346499999999999
19 2021 3 -7.02525
1 2022 8 -6.38975
200 2021 48 -8.67325
201 2021 1 -6.9254999999999995
202 2021 4 -8.49325
203 2021 11 -7.2692499999999995
204 2021 60 -9.139999999999999
205 2021 1 -7.52175
206 2021 3 -6.6955
207 2021 14 -7.479
208 2025 3 -6.3815
209 2023 6 -7.23175
20 2023 0 -7.30775
210 2025 7 -6.8462499999999995
211 2021 0 -6.51125
212 2021 1 -7.1232500000000005
213 2022 2 -7.7675
214 2024 3 -6.98825
215 2021 0 -7.1427499999999995
216 2021 3 -7.24325
217 2025 50 -8.68125
