INPUT-MOL-IDX,INPUT-MOL-SMI,GEN-MOL-SMI,LEAVING-FRAG-SMI,INSERTING-FRAG-SMI,PREDICTED-PROB,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE,SCORE_DIFF
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)N(CC(=O)NC)Cc1ccccc1,[3*]OC(CC)C(C[8*])C(=O)O,[5*]N(C[8*])CC(=O)NC,8.094898657873273e-05,2.856700000000001,329.210327104,0.540451625744792,2.5651074646235017,0.0855305235068363,-0.9548925353764988,69,-5.5,-5.6,-0.09999999999999964
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)N(CC(N)=O)Cc1ccccc1,[3*]OC(CC)C(C[8*])C(=O)O,[5*]N(C[8*])CC(N)=O,8.102852007141337e-05,2.596,315.19467704,0.5427056387876472,2.5666933824412883,0.0877845365496916,-0.9533066175587122,64,-5.5,-5.6,-0.09999999999999964
48,C=C/C=C/C1OC(C(NC(=O)O)C(=O)NCCC)C(O)[C@@](C)(C(=O)O)C1C(C)CC,C=CC=C1C(=O)N(C(C)CC)C(=O)N(C(NC(=O)O)C(=O)NCCC)C1=O,[7*]=CC1OC([13*])C(O)[C@@](C)(C(=O)O)C1[15*],[7*]=C1C(=O)N([10*])C(=O)N([10*])C1=O,0.0034636459313333,0.8080000000000005,380.169584488,0.4209882463628442,4.014781826986155,0.0862568949389269,-0.9452181730138438,15,-6.4,-6.5,-0.09999999999999964
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,CC(O)CCOc1ccc(CC(C)(C)C)c(CC(=O)O)c1,[15*]C1C=CNCC1,[8*]CC(C)(C)C,7.050253771012649e-05,3.0520000000000014,294.183109312,0.8108336240433689,2.81811537267021,0.0924368605801289,-0.8818846273297902,66,-6.5,-6.4,0.09999999999999964
64,CC(C)CC/C=C/C(C)c1ccccc1,CC(C)CCC=Cc1ccc(Nc2ccccc2)cc1,[7*]=CC([8*])C,[5*]Nc1ccc(C=[7*])cc1,0.0017674331320449,5.879600000000005,265.183049736,0.6873801739896288,1.870651339158016,0.0848268605481337,-0.7493486608419841,97,-5.6,-5.5,0.09999999999999964
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=C/C=C/C(C)c1ccc(CCNCc2ccc(CC(=O)O)cc2)c(O)c1,[4*]C(C)CCOP(=O)(O)O,[4*]Cc1ccc(CC(=O)O)cc1,7.325204933295026e-05,4.197300000000004,365.199093724,0.4359646069097313,3.0446144578585947,0.082983561289859,-0.7453855421414062,65,-6.2,-6.2,0.0
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=C/C=C/C(C)c1ccc(CCNCc2cccc(CC(=O)O)c2)c(O)c1,[4*]C(C)CCOP(=O)(O)O,[4*]Cc1cccc(CC(=O)O)c1,7.330823427764699e-05,4.197300000000003,365.199093724,0.4359646069097313,3.091971947737137,0.082983561289859,-0.6980280522628641,46,-6.2,-6.1,0.10000000000000053
81,CCC(CC)OC(C)C(O)C(OC(C1CCCC(CC)O1)C(O)C(=O)O)C(=O)NC,CCC(CC)OCCCN(C(=O)NC)C(C1CCCC(CC)O1)C(O)C(=O)O,[1*]C(=O)C(O[3*])C(O)C([4*])C,[1*]C(=O)N([5*])CCC[4*],0.0007992481696419,2.3849000000000005,402.2729869359999,0.4326506334118878,4.305690303702818,0.0919443951758967,-0.6543096962971813,14,-6.4,-6.4,0.0
43,NC(Cc1ccccc1)/C(O)=C/Cc1ccccc1,CC(CC(=O)O)(c1ccccc1)c1ccccc1,[8*]C/C=C(\O)C(N)C[8*],[8*]C([8*])(C)CC(=O)O,4.910280404146761e-05,3.4673000000000016,240.115029752,0.8880893813670334,1.8786651997475712,0.0845968136975638,-0.6513348002524291,88,-5.9,-6.1,-0.1999999999999993
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=C/C=C/C(C)c1ccc(CCNCc2cccc(CC(N)=O)c2)c(O)c1,[4*]C(C)CCOP(=O)(O)O,[4*]Cc1cccc(CC(N)=O)c1,7.326246850425377e-05,3.5980000000000008,364.21507813599993,0.4453280644133577,3.141131259478028,0.0923470187934854,-0.6488687405219729,62,-6.2,-6.1,0.10000000000000053
2,C=C/C=C/Cc1noc(=O)c2cnccc12,CC(C)CCCc1noc(=O)c2cnccc12,[8*]C/C=C/C=C,[8*]CCCC(C)C,7.997607463039458e-05,2.561700000000001,232.121177752,0.8124987480789764,2.5447358126097868,0.0808255392309393,-0.6152641873902134,21,-5.9,-5.8,0.10000000000000053
23,NC(=O)C(O)C1OC(CO)C(O)C1O,CC(=O)NCC1OC(CO)C(O)C1O,[8*]C(O)C(N)=O,[8*]CNC(C)=O,5.479656101670116e-05,-2.3959999999999986,205.09502258,0.4116156823308856,3.383367119762384,0.0882327651702342,-0.586632880237616,73,-5.8,-5.8,0.0
48,C=C/C=C/C1OC(C(NC(=O)O)C(=O)NCCC)C(O)[C@@](C)(C(=O)O)C1C(C)CC,C=C/C=C/C1OC(CCc2ccc(C(=O)NCCC)cc2)C(O)[C@@](C)(C(=O)O)C1C(C)CC,[1*]C(=O)C([8*])NC(=O)O,[1*]C(=O)c1ccc(CC[8*])cc1,4.721686491393484e-05,4.382700000000003,457.282823348,0.4286362331274624,4.390290639264014,0.0939048817035451,-0.5697093607359847,91,-6.4,-6.3,0.10000000000000053
23,NC(=O)C(O)C1OC(CO)C(O)C1O,O=C(O)CC1OC(CO)C(O)C1O,[8*]C(O)C(N)=O,[8*]CC(=O)O,5.4928488680161536e-05,-2.0573999999999995,192.063388104,0.4094494122350871,3.415525819360961,0.0860664950744357,-0.5544741806390387,36,-5.8,-5.8,0.0
28,CC(/C=C/c1ccccc1)N1CCC(CCCc2ccccc2C(N)=O)NC1,Cc1cccc(C(=O)N2CCC(CCCc3ccccc3C(N)=O)NC2)c1,[4*]C(C)/C=C/c1ccccc1,[1*]C(=O)c1cccc(C)c1,0.0002408792061032,2.87842,365.210327104,0.8264413187159003,2.880893768022116,0.0914770890858661,-0.5491062319778841,59,-7.4,-7.6,-0.1999999999999993
73,O=C(NCc1ccncc1)C1CCNC(C/C=C/c2ccccc2O)C1,O=C(OCc1ccncc1)N1CCCC(C/C=C/c2ccccc2O)CC1,[8*]CNC(=O)C1CCNC([13*])C1,[8*]COC(=O)N1CCCC([15*])CC1,5.376083208830096e-05,4.629400000000005,366.194342692,0.8379501348207044,2.80900780588299,0.0898586896634058,-0.5309921941170099,90,-7.3,-7.2,0.09999999999999964
35,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(OC(=O)C(O)CC)C3O)O1,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(C(=O)NCc2ccccc2)C3O)O1,[3*]OC(=O)C(O)CC,[6*]C(=O)NCc1ccccc1,4.934478783980012e-05,0.6165000000000003,463.220617016,0.5006262358470953,5.1676130672097615,0.0862381442099873,-0.5123869327902382,76,-7.0,-7.0,0.0
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=CC=Cc1ccc(CCNC(C)CCOP(=O)(O)O)cc1Cl,[7*]=CC(C)c1ccc([16*])c(O)c1,[7*]=Cc1ccc([16*])cc1Cl,0.0022397171705961,3.559200000000004,359.105322526,0.4395172196879327,3.2854516351019827,0.0865361740680604,-0.5045483648980182,11,-6.2,-6.1,0.10000000000000053
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=CC=Cc1ccc(CCNC(C)CCOP(=O)(O)O)c(C)c1,[7*]=CC(C)c1ccc([16*])c(O)c1,[7*]=Cc1ccc([16*])c(C)c1,0.0022415183484554,3.214220000000002,339.159944942,0.4505432070605392,3.286341744992095,0.0975621614406668,-0.5036582550079061,10,-6.2,-6.2,0.0
