INPUT-MOL-IDX,INPUT-MOL-SMI,GEN-MOL-SMI,LEAVING-FRAG-SMI,INSERTING-FRAG-SMI,PREDICTED-PROB,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE,SCORE_DIFF
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)NCC(C)(C)c1ccccc1,[5*]NC(=O)OC(CC)C(C[8*])C(=O)O,[5*]NC(=O)NCC([8*])(C)C,8.013909973669797e-05,4.175900000000003,300.220163516,0.5487072892844632,2.584034275300901,0.0937861870465076,-0.9359657246990992,75,-5.5,-6.0,-0.5
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)N(CCC#N)Cc1ccccc1,[3*]OC(CC)C(C[8*])C(=O)O,[5*]N(C[8*])CCC#N,8.096674719126895e-05,4.024380000000003,311.19976242,0.5528454701571454,2.612189423323484,0.0979243679191897,-0.9078105766765168,67,-5.5,-4.8,0.7000000000000002
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,CC(O)CCOc1ccc(CC(C)(C)C)c(CC(=O)O)c1,[15*]C1C=CNCC1,[8*]CC(C)(C)C,7.050253771012649e-05,3.0520000000000014,294.183109312,0.8108336240433689,2.81811537267021,0.0924368605801289,-0.8818846273297902,66,-6.5,-6.4,0.09999999999999964
13,CC(C(=O)NCc1ccncc1)C(O)C(N)CCc1cccc(C(=O)O)c1,CC(C)(CC(=O)Oc1cccc(C(=O)O)c1)OCc1ccncc1,[5*]NC(=O)C(C)C(O)C(N)CC[8*],[3*]OC(=O)CC(C)(C)O[3*],8.396952762268484e-05,3.0707000000000013,329.1263227080001,0.62045994540754,2.371150140384968,0.0932630623525481,-0.8788498596150323,2,-7.2,-6.7,0.5
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,CC(O)CCOc1ccc(CC(F)(F)F)c(CC(=O)O)c1,[15*]C1C=CNCC1,[8*]CC(F)(F)F,7.04910489730537e-05,2.5682,306.107893684,0.8122861282082762,2.88526427376911,0.0938893647450361,-0.8147357262308903,73,-6.5,-6.1,0.40000000000000036
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=C/C=C/C(C)c1ccc(C(=O)NCCCCCC(=O)O)c(O)c1,[8*]CCNC(C)CCOP(=O)(O)O,[6*]C(=O)NCCCCCC(=O)O,4.680940764956176e-05,3.612700000000002,331.17835828,0.4513600842733258,3.010142168615671,0.0983790386534534,-0.7798578313843301,98,-6.2,-6.5,-0.2999999999999998
81,CCC(CC)OC(C)C(O)C(OC(C1CCCC(CC)O1)C(O)C(=O)O)C(=O)NC,CCC(CC)NC(=O)CC(C)(C)NC(C1CCCC(CC)O1)C(O)C(=O)O,[3*]OC(C)C(O)C(O[3*])C(=O)NC,[5*]NC(=O)CC(C)(C)N[5*],0.0002218353474745,2.2113,386.2780723159999,0.4335876943967495,4.19437096784174,0.0928814561607583,-0.7656290321582588,23,-6.4,-5.8,0.6000000000000005
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=C/C=C/C(C)c1ccc(CCNCc2cccc(NC(C)=O)c2)c(O)c1,[4*]C(C)CCOP(=O)(O)O,[4*]Cc1cccc(NC(C)=O)c1,7.328623905777931e-05,4.528600000000004,364.21507813599993,0.4524924335774219,3.038531259478029,0.0995113879575496,-0.7514687405219718,55,-6.2,-7.2,-1.0
81,CCC(CC)OC(C)C(O)C(OC(C1CCCC(CC)O1)C(O)C(=O)O)C(=O)NC,CCC1CCCC(C(OCCCN(C(=O)NC)C(CC)CC)C(O)C(=O)O)O1,[1*]C(=O)C([4*])C(O)C(C)O[3*],[1*]C(=O)N([5*])CCC[4*],0.0009683704702183,2.3849000000000005,402.2729869359999,0.4326506334118878,4.225579372528729,0.0919443951758967,-0.7344206274712697,1,-6.4,-6.2,0.20000000000000018
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=C/C=C/C(C)c1ccc(CCNCCc2ccc(C(N)=O)cc2)c(O)c1,[4*]C(C)CCOP(=O)(O)O,[4*]CCc1ccc(C(N)=O)cc1,7.331045344471931e-05,3.7116000000000016,364.21507813599993,0.444274478559451,3.0610531218262054,0.0912934329395787,-0.7289468781737956,45,-6.2,-6.6,-0.39999999999999947
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,CC(=O)CCc1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,[8*]C(C)/C=C/C=C,[8*]CCC(C)=O,5.021457764087245e-05,1.9338000000000009,359.1497741819999,0.4461897143787891,3.0776625021283124,0.0932086687589168,-0.7123374978716885,76,-6.2,-6.5,-0.2999999999999998
11,CC(/N=C/CC(CNc1ccc(-c2ccccc2)cc1)CC(=O)O)c1ccccc1,OC(c1ccccc1)(c1ccc(-c2ccccc2)cc1)c1cccs1,[5*]NCC(C/C=N/C([8*])C)CC(=O)O,[8*]C([8*])(O)c1cccs1,3.562465644790791e-05,5.6993000000000045,342.10783619600005,0.5042766463988059,2.4538884027300973,0.0987299154030847,-0.7061115972699028,69,-6.6,-7.0,-0.40000000000000036
73,O=C(NCc1ccncc1)C1CCNC(C/C=C/c2ccccc2O)C1,CCNC1=NC(=Cc2ccccc2O)C(=O)N1Cc1ccncc1,[7*]=CCC1CC(C(=O)NC[8*])CCN1,[7*]=C1N=C(NCC)N(C[8*])C1=O,0.0006558867753483,2.136,322.142975816,0.8455090366332557,2.6494221016488826,0.0974175914759571,-0.6905778983511173,61,-7.3,-7.0,0.2999999999999998
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)NC(C)Cc1ccccc1,[5*]NC(=O)OC(CC)C(C[8*])C(=O)O,[5*]NC(=O)NC(C)C[8*],8.029443415580317e-05,3.8293000000000026,286.204513452,0.5532353407100803,2.8387428451976824,0.0983142384721246,-0.6812571548023181,73,-5.5,-5.3,0.20000000000000018
