job_id,run_group,model,target_idx,pdb_id,condition,total_tasks,exit_code,tarball_created,stdout_log,stderr_log
262943,ablation,DeepICL,36,4P77,0.10_-1.0,5454,0,yes,slurm_logs/GPU_DeepICL_36_0.10_-1.0_262943.out,slurm_logs/GPU_DeepICL_36_0.10_-1.0_262943.err
262944,ablation,DeepICL,68,4RV4,0.10_-1.0,9745,0,yes,slurm_logs/GPU_DeepICL_68_0.10_-1.0_262944.out,slurm_logs/GPU_DeepICL_68_0.10_-1.0_262944.err
262945,ablation,DeepICL,84,2EWY,0.10_-1.0,9250,0,yes,slurm_logs/GPU_DeepICL_84_0.10_-1.0_262945.out,slurm_logs/GPU_DeepICL_84_0.10_-1.0_262945.err
262946,ablation,decompdiff,36,4P77,0.10_-1.0,9169,0,yes,slurm_logs/GPU_decompdiff_36_0.10_-1.0_262946.out,slurm_logs/GPU_decompdiff_36_0.10_-1.0_262946.err
262947,ablation,decompdiff,68,4RV4,0.10_-1.0,9464,0,yes,slurm_logs/GPU_decompdiff_68_0.10_-1.0_262947.out,slurm_logs/GPU_decompdiff_68_0.10_-1.0_262947.err
262948,ablation,decompdiff,84,2EWY,0.10_-1.0,7056,0,yes,slurm_logs/GPU_decompdiff_84_0.10_-1.0_262948.out,slurm_logs/GPU_decompdiff_84_0.10_-1.0_262948.err
262949,ablation,pocket2mol,36,4P77,0.10_-1.0,4949,0,yes,slurm_logs/GPU_pocket2mol_36_0.10_-1.0_262949.out,slurm_logs/GPU_pocket2mol_36_0.10_-1.0_262949.err
262950,ablation,pocket2mol,68,4RV4,0.10_-1.0,5744,0,yes,slurm_logs/GPU_pocket2mol_68_0.10_-1.0_262950.out,slurm_logs/GPU_pocket2mol_68_0.10_-1.0_262950.err
262951,ablation,pocket2mol,84,2EWY,0.10_-1.0,6838,0,yes,slurm_logs/GPU_pocket2mol_84_0.10_-1.0_262951.out,slurm_logs/GPU_pocket2mol_84_0.10_-1.0_262951.err
262952,ablation,targetdiff,36,4P77,0.10_-1.0,5151,0,yes,slurm_logs/GPU_targetdiff_36_0.10_-1.0_262952.out,slurm_logs/GPU_targetdiff_36_0.10_-1.0_262952.err
262953,ablation,targetdiff,68,4RV4,0.10_-1.0,7473,0,yes,slurm_logs/GPU_targetdiff_68_0.10_-1.0_262953.out,slurm_logs/GPU_targetdiff_68_0.10_-1.0_262953.err
262954,ablation,targetdiff,84,2EWY,0.10_-1.0,7271,0,yes,slurm_logs/GPU_targetdiff_84_0.10_-1.0_262954.out,slurm_logs/GPU_targetdiff_84_0.10_-1.0_262954.err
262955,main,DeepICL,36,4P77,0.10_-1.0,5451,0,yes,slurm_logs/GPU_DeepICL_36_0.10_-1.0_262955.out,slurm_logs/GPU_DeepICL_36_0.10_-1.0_262955.err
262956,main,DeepICL,68,4RV4,0.10_-1.0,9737,0,yes,slurm_logs/GPU_DeepICL_68_0.10_-1.0_262956.out,slurm_logs/GPU_DeepICL_68_0.10_-1.0_262956.err
262957,main,DeepICL,84,2EWY,0.10_-1.0,9239,0,yes,slurm_logs/GPU_DeepICL_84_0.10_-1.0_262957.out,slurm_logs/GPU_DeepICL_84_0.10_-1.0_262957.err
262958,main,decompdiff,36,4P77,0.10_-1.0,9167,0,yes,slurm_logs/GPU_decompdiff_36_0.10_-1.0_262958.out,slurm_logs/GPU_decompdiff_36_0.10_-1.0_262958.err
262959,main,decompdiff,68,4RV4,0.10_-1.0,9475,0,yes,slurm_logs/GPU_decompdiff_68_0.10_-1.0_262959.out,slurm_logs/GPU_decompdiff_68_0.10_-1.0_262959.err
262960,main,decompdiff,84,2EWY,0.10_-1.0,7051,0,yes,slurm_logs/GPU_decompdiff_84_0.10_-1.0_262960.out,slurm_logs/GPU_decompdiff_84_0.10_-1.0_262960.err
262961,main,pocket2mol,36,4P77,0.10_-1.0,4946,0,yes,slurm_logs/GPU_pocket2mol_36_0.10_-1.0_262961.out,slurm_logs/GPU_pocket2mol_36_0.10_-1.0_262961.err
262962,main,pocket2mol,68,4RV4,0.10_-1.0,5737,0,yes,slurm_logs/GPU_pocket2mol_68_0.10_-1.0_262962.out,slurm_logs/GPU_pocket2mol_68_0.10_-1.0_262962.err
262963,main,pocket2mol,84,2EWY,0.10_-1.0,6846,0,yes,slurm_logs/GPU_pocket2mol_84_0.10_-1.0_262963.out,slurm_logs/GPU_pocket2mol_84_0.10_-1.0_262963.err
262964,main,targetdiff,36,4P77,0.10_-1.0,5150,0,yes,slurm_logs/GPU_targetdiff_36_0.10_-1.0_262964.out,slurm_logs/GPU_targetdiff_36_0.10_-1.0_262964.err
262965,main,targetdiff,68,4RV4,0.10_-1.0,7467,0,yes,slurm_logs/GPU_targetdiff_68_0.10_-1.0_262965.out,slurm_logs/GPU_targetdiff_68_0.10_-1.0_262965.err
262966,main,targetdiff,84,2EWY,0.10_-1.0,7272,0,yes,slurm_logs/GPU_targetdiff_84_0.10_-1.0_262966.out,slurm_logs/GPU_targetdiff_84_0.10_-1.0_262966.err
