INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,Cc1ccc(C2c3ccc(CCN4CCC4)cc3CCC2N)cc1,[*]c1ccccc1,[*]N1CCC1,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[NH0]1-[CH2]-[CH2]-[CH2]-1,10,3.648620000000002,320.225248896,0.931560350953058,2.962715745307543,0.2370178638589802,0.1627157453075431,0,0,-8.8,-8.3
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,COCCc1ccc2c(c1)CCC(N)C2c1ccc(C)cc1,[*]c1ccccc1,[*]OC,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[OH0]-[CH3],596,3.5893200000000016,295.19361442,0.9352837885459636,2.964023116468926,0.2407413014518857,0.1640231164689263,0,1,-8.8,-7.5
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,Cc1ccc(C2c3ccc(CCN(C)C)cc3CCC2N)cc1,[*]c1ccccc1,[*]N(C)C,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[NH0](-[CH3])-[CH3],119,3.504520000000002,308.225248896,0.9363964016050716,3.0027658889762066,0.2418539145109938,0.2027658889762067,0,2,-8.8,-7.5
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,Cc1ccc(C2c3ccc(CCC(C)(C)O)cc3CCC2N)cc1,[*]c1ccccc1,[*]C(C)(C)O,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[CH0](-[CH3])(-[CH3])-[OH1],17,4.103920000000002,323.224914548,0.8894555172760764,3.138622279526084,0.1949130301819986,0.338622279526084,0,3,-8.8,-7.9
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,COC(=O)CCc1ccc2c(c1)CCC(N)C2c1ccc(C)cc1,[*]c1ccccc1,[*]C(=O)OC,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[CH0](=[OH0])-[OH0]-[CH3],10,3.506020000000001,323.18852904000005,0.8761680868742912,2.9649649485339857,0.1816255997802134,0.1649649485339859,0,4,-8.8,-8.0
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,Cc1ccc(C2c3ccc(CCC(=O)N(C)C)cc3CCC2N)cc1,[*]c1ccccc1,[*]C(=O)N(C)C,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[CH0](=[OH0])-[NH0](-[CH3])-[CH3],27,3.4212200000000017,336.220163516,0.9297360553612964,3.045155610843429,0.2351935682672187,0.2451556108434287,0,5,-8.8,-8.3
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,CCCCc1ccc2c(c1)CCC(N)C2c1ccc(C)cc1,[*]c1ccccc1,[*]CC,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[CH2]-[CH3],391,4.743020000000004,293.214349864,0.865164891290411,2.888462676908487,0.1706224041963332,0.0884626769084873,0,6,-8.8,-8.0
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,CCCCc1ccc2c(c1)CCC(N)C2c1ccc(C)cc1,[*]c1ccccc1,[*]CC,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[CH2]-[CH3],435,4.743020000000004,293.214349864,0.865164891290411,2.888462676908487,0.1706224041963332,0.0884626769084873,0,7,-8.8,-7.9
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,Cc1ccc(C2c3ccc(CCCCF)cc3CCC2N)cc1,[*]c1ccccc1,[*]CCF,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[CH2]-[CH2]-[FH0],11,4.692620000000003,311.204928052,0.7963328625245651,3.103639831956303,0.1017903754304874,0.3036398319563034,0,8,-8.8,-7.6
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,Cc1ccc(C2c3ccc(CCC(N)=O)cc3CCC2N)cc1,[*]c1ccccc1,[*]C(N)=O,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[CH0](-[NH2])=[OH0],54,2.818320000000001,308.188863388,0.9116012287307136,2.992747664124135,0.2170587416366357,0.192747664124135,0,9,-8.8,-8.4
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,CCOCCc1ccc2c(c1)CCC(N)C2c1ccc(C)cc1,[*]c1ccccc1,[*]OCC,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[OH0]-[CH2]-[CH3],77,3.979420000000003,309.209264484,0.847962984560317,3.0075685032849755,0.1534204974662393,0.2075685032849756,0,10,-8.8,-7.6
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,Cc1ccc(C2c3ccc(CCNC(C)C)cc3CCC2N)cc1,[*]c1ccccc1,[*]NC(C)C,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[NH1]-[CH1](-[CH3])-[CH3],11,3.940920000000003,322.24089896,0.8747956416969254,3.032330559393713,0.1802531546028476,0.2323305593937137,0,11,-8.8,-8.2
Cc1ccc(C2c3ccc(CCc4ccccc4)cc3CCC2N)cc1,CNCCc1ccc2c(c1)CCC(N)C2c1ccc(C)cc1,[*]c1ccccc1,[*]NC,[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1>>[*:1]-[NH1]-[CH3],23,3.162320000000001,294.209598832,0.9087819269154036,3.0131374021832134,0.2142394398213258,0.2131374021832135,0,12,-8.8,-7.6
