INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,CN[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,[*]OC,[*]NC,[*:1]-[OH0]-[CH3]>>[*:1]-[NH1]-[CH3],601,0.8965999999999998,266.163042564,0.7399346455222138,4.211593757751743,-0.0383813873560402,0.1515937577517432,0,0,-5.9,-6.9
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,O=C1CCN[C@H](CCC2=CC[C@H](NC3CC3)OC2=O)CC1,[*]OC,[*]NC1CC1,[*:1]-[OH0]-[CH3]>>[*:1]-[NH1]-[CH1]1-[CH2]-[CH2]-1,74,1.4291999999999998,292.178692628,0.7503793632775628,4.159199203890164,-0.0279366696006911,0.0991992038901639,0,1,-5.9,-5.8
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,CN(C)[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,[*]OC,[*]N(C)C,[*:1]-[OH0]-[CH3]>>[*:1]-[NH0](-[CH3])-[CH3],1539,1.2387999999999997,280.178692628,0.7851768810439477,4.182869950278003,0.0068608481656936,0.1228699502780035,0,2,-5.9,-5.0
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,O=C1CCN[C@H](CCC2=CC[C@H](N3CCC3)OC2=O)CC1,[*]OC,[*]N1CCC1,[*:1]-[OH0]-[CH3]>>[*:1]-[NH0]1-[CH2]-[CH2]-[CH2]-1,59,1.3828999999999996,292.178692628,0.7934190010941086,4.031233050044009,0.0151029682158545,-0.0287669499559903,0,3,-5.9,-5.4
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,CC[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,[*]OC,[*]CC,[*:1]-[OH0]-[CH3]>>[*:1]-[CH2]-[CH3],857,2.1297,265.167793596,0.7911547854722755,3.8796706808286654,0.0128387525940214,-0.1803293191713342,0,4,-5.9,-6.3
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,CCN[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,[*]OC,[*]NCC,[*:1]-[OH0]-[CH3]>>[*:1]-[NH1]-[CH2]-[CH3],191,1.2866999999999995,280.178692628,0.74276148042786,4.1610180994972055,-0.0355545524503939,0.1010180994972058,0,5,-5.9,-6.3
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,NC[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,[*]OC,[*]CN,[*:1]-[OH0]-[CH3]>>[*:1]-[CH2]-[NH2],60,0.6783999999999997,266.163042564,0.7312365089695932,3.965452732110717,-0.0470795239086607,-0.0945472678892827,0,6,-5.9,-6.3
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,O=C1CCN[C@H](CCC2=CC[C@H](NC3CCC3)OC2=O)CC1,[*]OC,[*]NC1CCC1,[*:1]-[OH0]-[CH3]>>[*:1]-[NH1]-[CH1]1-[CH2]-[CH2]-[CH2]-1,14,1.8193,306.194342692,0.7584602471555415,4.11191981976563,-0.0198557857227125,0.0519198197656303,0,7,-5.9,-4.8
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,CC(C)N[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,[*]OC,[*]NC(C)C,[*:1]-[OH0]-[CH3]>>[*:1]-[NH1]-[CH1](-[CH3])-[CH3],107,1.6751999999999998,294.194342692,0.7551199193223788,4.175246192156136,-0.0231961135558752,0.1152461921561363,0,8,-5.9,-5.9
CO[C@H]1CC=C(CC[C@@H]2CCC(=O)CCN2)C(=O)O1,O=C1CCN[C@H](CCC2=CC[C@H](N3CCCC3)OC2=O)CC1,[*]OC,[*]N1CCCC1,[*:1]-[OH0]-[CH3]>>[*:1]-[NH0]1-[CH2]-[CH2]-[CH2]-[CH2]-1,268,1.773,306.194342692,0.8023115316694515,3.9724414887216746,0.0239954987911974,-0.087558511278325,0,9,-5.9,-6.0
