INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)NCC(=O)O,[*]O[*],[*]N[*],[*:1]-[OH0]-[*:2]>>[*:1]-[NH1]-[*:2],1876,2.637699999999999,563.3458175279999,0.2760813630412073,6.941549305909316,-0.0175278982327917,-0.0884506940906835,0,0,-9.7,-9.5
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2NC(=O)OCC(=O)O,[*]O[*],[*]N[*],[*:1]-[OH0]-[*:2]>>[*:1]-[NH1]-[*:2],1876,2.637699999999999,563.3458175279999,0.2760813630412073,6.937015002375013,-0.0175278982327917,-0.0929849976249865,0,1,-9.7,-8.8
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2OCC(=O)OCC(=O)O,[*]O[*],[*]OC[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[*:2],780,2.4712999999999994,578.3454831799999,0.259704328302124,6.959248498041626,-0.033904932971875,-0.0707515019583731,0,2,-9.7,-8.3
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2COC(=O)OCC(=O)O,[*]O[*],[*]OC[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[*:2],780,3.3123000000000005,578.34548318,0.2730119480336231,6.986969955531505,-0.0205973132403758,-0.0430300444684945,0,3,-9.7,-8.2
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)SCC(=O)O,[*]O[*],[*]S[*],[*:1]-[OH0]-[*:2]>>[*:1]-[SH0]-[*:2],682,3.7813000000000025,580.306989496,0.2841735320314623,7.13801624977626,-0.0094357292425367,0.1080162497762602,0,4,-9.7,-8.8
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)SCC(=O)O,[*]O[*],[*]S[*],[*:1]-[OH0]-[*:2]>>[*:1]-[SH0]-[*:2],682,3.7813000000000025,580.3069894959999,0.2841735320314623,7.13801624977626,-0.0094357292425367,0.1080162497762602,0,5,-9.7,-9.1
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCCOCC(=O)O,[*]O[*],[*]OCCO[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[CH2]-[OH0]-[*:2],396,3.0813,608.3560478640001,0.1839989394251345,6.994653876546038,-0.1096103218488644,-0.0353461234539613,0,6,-9.7,-8.5
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCCOCC(=O)O,[*]O[*],[*]OCCO[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[CH2]-[OH0]-[*:2],396,3.0813000000000006,608.3560478639998,0.1839989394251345,6.994653876546038,-0.1096103218488644,-0.0353461234539613,0,7,-9.7,-8.5
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2N(C)C(=O)OCC(=O)O,[*]O[*],[*]N([*])C,[*:1]-[OH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[CH3],369,2.9799000000000007,577.3614675919999,0.310293174720271,7.035156527134099,0.016683913446272,0.0051565271340994,0,8,-9.7,-9.4
C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H]4[C@H]5[C@H]3[C@@H]1O)C[C@H](O)[C@H](CO)[C@@H]2OC(=O)OCC(=O)O,C[C@@H]1CC2C[C@H](C1)[C@@](C)(C[C@@H](O)[C@@H]1C[C@@H]3[C@H]([C@@H]1O)[C@H]1[C@H]4CC[C@@H]3[C@@H]1C4)C[C@H](O)[C@H](CO)[C@@H]2N(C)C(=O)OCC(=O)O,[*]O[*],[*]N([*])C,[*:1]-[OH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[CH3],369,2.9799,577.3614675919998,0.310293174720271,7.035156527134099,0.016683913446272,0.0051565271340994,0,9,-9.7,-9.7
