INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)NN1CCC(C2C(=O)N=C=NC2=O)C1,[*]C[*],[*]N1CCC([*])C1,[*:1]-[CH2]-[*:2]>>[*:1]-[NH0]1-[CH2]-[CH2]-[CH1](-[*:2])-[CH2]-1,1,-0.6521999999999997,238.0702048,0.6205695025849448,4.587429227228001,0.0795759921681011,0.4374292272280016,0,0,-7.1,-5.5
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)NN1CCC(C2C(=O)N=C=NC2=O)C1,[*]C[*],[*]N1CCC([*])C1,[*:1]-[CH2]-[*:2]>>[*:1]-[NH0]1-[CH2]-[CH2]-[CH1](-[*:2])-[CH2]-1,1,-0.6521999999999997,238.0702048,0.6205695025849448,4.587429227228001,0.0795759921681011,0.4374292272280016,0,1,-7.1,-5.5
O=C(O)NCC1C(=O)N=C=NC1=O,CC(C)[C@@H](C(=O)NCNC(=O)O)C1C(=O)N=C=NC1=O,[*]C[*],[*][C@H](C(=O)NC[*])C(C)C,[*:1]-[CH2]-[*:2]>>[*:1]-[C@H1](-[CH0](=[OH0])-[NH1]-[CH2]-[*:2])-[CH1](-[CH3])-[CH3],1,-0.5431999999999988,282.096419548,0.4588831860627783,4.52961335107132,-0.0821103243540653,0.3796133510713204,0,2,-7.1,-7.8
O=C(O)NCC1C(=O)N=C=NC1=O,CC(C)[C@H](NC(=O)O)C(=O)NCC1C(=O)N=C=NC1=O,[*]C[*],[*][C@H](C(=O)NC[*])C(C)C,[*:1]-[CH2]-[*:2]>>[*:1]-[C@H1](-[CH0](=[OH0])-[NH1]-[CH2]-[*:2])-[CH1](-[CH3])-[CH3],1,-0.7482999999999986,282.09641954800003,0.5696245256029165,3.997247023059708,0.0286310151860729,-0.1527529769402917,0,3,-7.1,-8.0
O=C(O)NCC1C(=O)N=C=NC1=O,CC(CNC(=O)O)C1C(=O)N=C=NC1=O,[*]C[*],[*]CC([*])C,[*:1]-[CH2]-[*:2]>>[*:1]-[CH2]-[CH1](-[*:2])-[CH3],14,-0.2529999999999999,211.059305768,0.6269109536265097,4.546889266646351,0.0859174432096661,0.3968892666463519,0,4,-7.1,-7.0
O=C(O)NCC1C(=O)N=C=NC1=O,CC(CNC(=O)O)C1C(=O)N=C=NC1=O,[*]C[*],[*]CC([*])C,[*:1]-[CH2]-[*:2]>>[*:1]-[CH2]-[CH1](-[*:2])-[CH3],14,-0.2529999999999999,211.059305768,0.6269109536265097,4.546889266646351,0.0859174432096661,0.3968892666463519,0,5,-7.1,-7.0
O=C(O)NCC1C(=O)N=C=NC1=O,O=C1N=C=NC(=O)C1CN(C(=O)O)c1cccc2ccccc12,[*]N[*],[*]N([*])c1cccc2ccccc12,[*:1]-[NH1]-[*:2]>>[*:1]-[NH0](-[*:2])-[cH0]1:[cH1]:[cH1]:[cH1]:[cH0]2:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]:1:2,4,2.1811,309.074955832,0.8781825653513684,3.2955378794827093,0.3371890549345248,-0.8544621205172902,0,6,-7.1,-4.8
O=C(O)NCC1C(=O)N=C=NC1=O,O=C1N=C=NC(=O)C1CN(C(=O)O)c1cccc2ccccc12,[*]N[*],[*]N([*])c1cccc2ccccc12,[*:1]-[NH1]-[*:2]>>[*:1]-[NH0](-[*:2])-[cH0]1:[cH1]:[cH1]:[cH1]:[cH0]2:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]:1:2,4,2.1811,309.074955832,0.8781825653513684,3.2955378794827093,0.3371890549345248,-0.8544621205172902,0,7,-7.1,-4.8
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)NC(S)=NC(NCC1C(=O)N=C=NC1=O)C(Cl)(Cl)Cl,[*]N[*],[*]NC(S)=NC(N[*])C(Cl)(Cl)Cl,[*:1]-[NH1]-[*:2]>>[*:1]-[NH1]-[CH0](-[SH1])=[NH0]-[CH1](-[NH1]-[*:2])-[CH0](-[ClH0])(-[ClH0])-[ClH0],1,0.6826000000000001,386.936257776,0.1847810608800264,5.130884518291792,-0.3562124495368172,0.9808845182917922,0,8,-7.1,-6.0
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)NC(N=C(S)NCC1C(=O)N=C=NC1=O)C(Cl)(Cl)Cl,[*]N[*],[*]NC(S)=NC(N[*])C(Cl)(Cl)Cl,[*:1]-[NH1]-[*:2]>>[*:1]-[NH1]-[CH0](-[SH1])=[NH0]-[CH1](-[NH1]-[*:2])-[CH0](-[ClH0])(-[ClH0])-[ClH0],1,0.6826,386.93625777599993,0.1847810608800263,5.033269133676408,-0.3562124495368173,0.883269133676408,0,9,-7.1,-6.2
