INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)CCC1C(=O)N=C=NC1=O,[*]N[*],[*]C[*],[*:1]-[NH1]-[*:2]>>[*:1]-[CH2]-[*:2],77,-0.2919000000000001,182.032756672,0.6061100585224207,3.987430958800036,0.0651165481055771,-0.1625690411999638,0,0,-7.1,-7.0
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)CCC1C(=O)N=C=NC1=O,[*]N[*],[*]C[*],[*:1]-[NH1]-[*:2]>>[*:1]-[CH2]-[*:2],77,-0.2919000000000001,182.032756672,0.6061100585224207,3.987430958800036,0.0651165481055771,-0.1625690411999638,0,1,-7.1,-6.7
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)CCCC1C(=O)N=C=NC1=O,[*]N[*],[*]CC[*],[*:1]-[NH1]-[*:2]>>[*:1]-[CH2]-[CH2]-[*:2],11,0.0982,196.048406736,0.6445009257532767,3.833723095813596,0.103507415336433,-0.3162769041864033,0,2,-7.1,-6.5
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)CCCC1C(=O)N=C=NC1=O,[*]N[*],[*]CC[*],[*:1]-[NH1]-[*:2]>>[*:1]-[CH2]-[CH2]-[*:2],11,0.0981999999999997,196.048406736,0.6445009257532767,3.833723095813596,0.103507415336433,-0.3162769041864033,0,3,-7.1,-6.6
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)NC(=O)C1C(=O)N=C=NC1=O,[*]C[*],[*]C([*])=O,[*:1]-[CH2]-[*:2]>>[*:1]-[CH0](-[*:2])=[OH0],901,-1.3625000000000005,197.007270196,0.5016809874962548,4.205765408976961,-0.0393125229205888,0.0557654089769616,0,4,-7.1,-7.2
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)NC(=O)C1C(=O)N=C=NC1=O,[*]C[*],[*]C([*])=O,[*:1]-[CH2]-[*:2]>>[*:1]-[CH0](-[*:2])=[OH0],901,-1.3625000000000005,197.007270196,0.5016809874962548,4.205765408976961,-0.0393125229205888,0.0557654089769616,0,5,-7.1,-7.2
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)OCC1C(=O)N=C=NC1=O,[*]N[*],[*]O[*],[*:1]-[NH1]-[*:2]>>[*:1]-[OH0]-[*:2],1876,-0.4621000000000002,184.012021228,0.4611947594496221,4.168439750008826,-0.0797987509672215,0.0184397500088264,0,6,-7.1,-7.0
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)OCC1C(=O)N=C=NC1=O,[*]N[*],[*]O[*],[*:1]-[NH1]-[*:2]>>[*:1]-[OH0]-[*:2],1876,-0.4621000000000002,184.012021228,0.4611947594496221,4.168439750008826,-0.0797987509672215,0.0184397500088264,0,7,-7.1,-6.6
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)NC(=O)CC1C(=O)N=C=NC1=O,[*]N[*],[*]NC([*])=O,[*:1]-[NH1]-[*:2]>>[*:1]-[NH1]-[CH0](-[*:2])=[OH0],131,-0.9724000000000004,211.02292026,0.5679171018562964,4.035838118803916,0.0269235914394527,-0.1141618811960833,0,8,-7.1,-7.5
O=C(O)NCC1C(=O)N=C=NC1=O,O=C(O)C(=O)NCC1C(=O)N=C=NC1=O,[*]N[*],[*]NC([*])=O,[*:1]-[NH1]-[*:2]>>[*:1]-[NH1]-[CH0](-[*:2])=[OH0],131,-1.9559,211.02292026,0.4049887417113688,3.97014504188084,-0.1360047687054748,-0.1798549581191597,0,9,-7.1,-7.2
