INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
O=C(O)Cc1cc(O)ccc1O,O=C(O)c1cc(O)ccc1O,[*]CC(=O)O,[*]C(=O)O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](=[OH0])-[OH1],212,0.7959999999999998,154.026608672,0.5224912248827285,1.8040464901433813,-0.0460210634358785,-0.1859535098566187,0,0,-6.8,-7.1
O=C(O)Cc1cc(O)ccc1O,O=C(O)CCc1cc(O)ccc1O,[*]CC(=O)O,[*]CCC(=O)O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH2]-[CH0](=[OH0])-[OH1],137,1.1149999999999998,182.0579088,0.6118016661800426,1.9641557939648704,0.0432893778614356,-0.0258442060351296,0,1,-6.8,-7.2
O=C(O)Cc1cc(O)ccc1O,OCCc1cc(O)ccc1O,[*]CC(=O)O,[*]CCO,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH2]-[OH1],53,0.6325999999999998,154.06299418,0.5474482257756463,2.1012818747587687,-0.0210640625429606,0.1112818747587685,0,2,-6.8,-6.1
O=C(O)Cc1cc(O)ccc1O,O=C(O)COc1cc(O)ccc1O,[*]CC(=O)O,[*]OCC(=O)O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[OH0]-[CH2]-[CH0](=[OH0])-[OH1],50,0.5611999999999999,184.037173356,0.5972637451820915,1.9061404093494847,0.0287514568634844,-0.0838595906505155,0,3,-6.8,-7.2
O=C(O)Cc1cc(O)ccc1O,OCc1cc(O)ccc1O,[*]CC(=O)O,[*]CO,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[OH1],49,0.5900999999999998,140.047344116,0.5001414116338732,2.006910392316538,-0.0683708766847338,0.0169103923165376,0,4,-6.8,-6.1
O=C(O)Cc1cc(O)ccc1O,COC(=O)Cc1cc(O)ccc1O,[*]CC(=O)O,[*]CC(=O)OC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](=[OH0])-[OH0]-[CH3],48,0.8132999999999999,182.0579088,0.5243941199262746,2.017530739019815,-0.0441181683923324,0.0275307390198147,0,5,-6.8,-6.1
O=C(O)Cc1cc(O)ccc1O,NC(=O)Cc1cc(O)ccc1O,[*]CC(=O)O,[*]CC(N)=O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](-[NH2])=[OH0],47,0.1255999999999999,167.058243148,0.5470450065736828,2.1194482921770685,-0.0214672817449241,0.1294482921770683,0,6,-6.8,-6.2
O=C(O)Cc1cc(O)ccc1O,CCOC(=O)Cc1cc(O)ccc1O,[*]CC(=O)O,[*]CC(=O)OCC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](=[OH0])-[OH0]-[CH2]-[CH3],43,1.2033999999999998,196.073558864,0.5628014885660872,1.9845983994573209,-0.0057107997525197,-0.0054016005426795,0,7,-6.8,-6.2
O=C(O)Cc1cc(O)ccc1O,CC(C(=O)O)c1cc(O)ccc1O,[*]CC(=O)O,[*]C(C)C(=O)O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH1](-[CH3])-[CH0](=[OH0])-[OH1],32,1.2858999999999998,182.0579088,0.601955813506057,2.6378337711544297,0.0334435251874499,0.6478337711544295,0,8,-6.8,-6.5
O=C(O)Cc1cc(O)ccc1O,NC(=O)c1cc(O)ccc1O,[*]CC(=O)O,[*]C(N)=O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](-[NH2])=[OH0],32,0.1967000000000002,153.042593084,0.5035860093648233,1.9167255352362207,-0.0649262789537836,-0.073274464763779,0,9,-6.8,-6.8
O=C(O)Cc1cc(O)ccc1O,O=C(O)CCCc1cc(O)ccc1O,[*]CC(=O)O,[*]CCCC(=O)O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH2]-[CH2]-[CH0](=[OH0])-[OH1],29,1.5050999999999997,196.073558864,0.6375860676138865,1.9735724885261483,0.0690737792952794,-0.0164275114738519,0,10,-6.8,-6.1
O=C(O)Cc1cc(O)ccc1O,CN(C)C(=O)Cc1cc(O)ccc1O,[*]CC(=O)O,[*]CC(=O)N(C)C,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](=[OH0])-[NH0](-[CH3])-[CH3],28,0.7284999999999999,195.089543276,0.6837090363060172,2.132700544112096,0.1151967479874102,0.1427005441120954,0,11,-6.8,-5.1
O=C(O)Cc1cc(O)ccc1O,CNC(=O)Cc1cc(O)ccc1O,[*]CC(=O)O,[*]CC(=O)NC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](=[OH0])-[NH1]-[CH3],27,0.3862999999999997,181.073893212,0.5777686753838451,2.097901728030804,0.0092563870652381,0.1079017280308036,0,12,-6.8,-6.2
O=C(O)Cc1cc(O)ccc1O,CC(C)(C(=O)O)c1cc(O)ccc1O,[*]CC(=O)O,[*]C(C)(C)C(=O)O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](-[CH3])(-[CH3])-[CH0](=[OH0])-[OH1],24,1.4599999999999995,196.073558864,0.6255703597185182,2.3827844318459857,0.0570580713999111,0.3927844318459854,0,13,-6.8,-6.1
O=C(O)Cc1cc(O)ccc1O,CCc1cc(O)ccc1O,[*]CC(=O)O,[*]CC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH3],24,1.6601999999999997,138.06807956,0.579216457405964,1.89631039231654,0.0107041690873569,-0.0936896076834603,0,14,-6.8,-5.9
O=C(O)Cc1cc(O)ccc1O,COC(=O)c1cc(O)ccc1O,[*]CC(=O)O,[*]C(=O)OC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](=[OH0])-[OH0]-[CH3],22,0.8843999999999996,168.042258736,0.4822615792668556,1.8142141575616844,-0.0862507090517513,-0.1757858424383158,0,15,-6.8,-6.3
O=C(O)Cc1cc(O)ccc1O,Oc1ccc(O)c(Cc2ccccc2)c1,[*]CC(=O)O,[*]Cc1ccccc1,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1,22,2.688600000000002,200.083729624,0.7315509798896028,1.6835109363352228,0.1630386915709958,-0.3064890636647774,0,16,-6.8,-5.8
O=C(O)Cc1cc(O)ccc1O,O=C(Cc1cc(O)ccc1O)N1CCOCC1,[*]CC(=O)O,[*]CC(=O)N1CCOCC1,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](=[OH0])-[NH0]1-[CH2]-[CH2]-[OH0]-[CH2]-[CH2]-1,19,0.4990999999999997,237.10010796,0.7347608886060509,2.093440620302095,0.1662486002874439,0.103440620302095,0,17,-6.8,-5.5
O=C(O)Cc1cc(O)ccc1O,N#CCc1cc(O)ccc1O,[*]CC(=O)O,[*]CC#N,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0]#[NH0],18,1.1638799999999998,149.047678464,0.5887343973668014,2.370566490143382,0.0202221090481944,0.3805664901433818,0,18,-6.8,-5.9
O=C(O)Cc1cc(O)ccc1O,COc1cc(O)ccc1O,[*]CC(=O)O,[*]OC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[OH0]-[CH3],17,1.1063999999999996,140.047344116,0.5742022454827616,1.7060437256498735,0.0056899571641545,-0.2839562743501265,0,19,-6.8,-5.7
