INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(Oc2nccc(C(F)(F)F)n2)C1,[*]C(C)C,[*]Oc1nccc(C(F)(F)F)n1,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[OH0]-[cH0]1:[nH0]:[cH1]:[cH1]:[cH0](-[CH0](-[FH0])(-[FH0])-[FH0]):[nH0]:1,1,3.729600000000002,546.2352996879999,0.3013297057968456,5.442767175678032,-0.1845876139283809,0.0327671756780318,0,0,-7.9,-8.8
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(CS(=O)(=O)NCCO)C1,[*]C(C)C,[*]CS(=O)(=O)NCCO,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[CH2]-[SH0](=[OH0])(=[OH0])-[NH1]-[CH2]-[CH2]-[OH1],1,1.0011000000000003,521.2458664599999,0.2326017404471426,5.462663582020096,-0.253315579278084,0.052663582020096,0,1,-7.9,-8.1
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,CCOCCOC1C[C@H]([C@@H](CO)[C@H]2[C@@H](O)CCC[C@@H]2[C@@H]2C=C[C@H](F)C(O)=C2OC)CC[C@H]1O,[*]C(C)C,[*]OCCOCC,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[OH0]-[CH2]-[CH2]-[OH0]-[CH2]-[CH3],2,2.8949000000000007,472.283631872,0.2859717768144359,5.313742215966681,-0.1999455429107907,-0.0962577840333187,0,2,-7.9,-8.1
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(CNC(=O)CCS(=O)(=O)O)C1,[*]C(C)C,[*]CNC(=O)CCS(=O)(=O)O,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[CH2]-[NH1]-[CH0](=[OH0])-[CH2]-[CH2]-[SH0](=[OH0])(=[OH0])-[OH1],1,1.483500000000001,549.2407810799999,0.1742388331573502,5.362472039821524,-0.3116784865678764,-0.0475279601784759,0,3,-7.9,-8.4
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(Cc2cccc3ccccc23)C1,[*]C(C)C,[*]Cc1cccc2ccccc12,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[CH2]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH0]2:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]:1:2,2,5.485300000000005,524.2938026319999,0.3600634549589229,5.068955197656054,-0.1258538647663036,-0.3410448023439461,0,4,-7.9,-8.6
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(CCCOc2ccccc2)C1,[*]C(C)C,[*]CCCOc1ccccc1,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[CH2]-[CH2]-[CH2]-[OH0]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1,2,4.948600000000004,518.3043673159999,0.2584717720724879,5.064309472092224,-0.2274455476527387,-0.3456905279077764,0,5,-7.9,-8.8
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(=O)NC2CCC2)C1,[*]C(C)C,[*]C(=O)NC1CCC1,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[CH0](=[OH0])-[NH1]-[CH1]1-[CH2]-[CH2]-[CH2]-1,1,2.7581,481.2839662199999,0.3569283710816289,5.29388452941156,-0.1289889486435976,-0.1161154705884399,0,6,-7.9,-8.0
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C([C@@H]2C[C@@H](OCCO)C2)C1,[*]C(C)C,[*][C@H]1C[C@H](OCCO)C1,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[C@H1]1-[CH2]-[C@H1](-[OH0]-[CH2]-[CH2]-[OH1])-[CH2]-1,1,2.8769,498.299281936,0.3102066947227198,5.455241422028028,-0.1757106250025067,0.0452414220280275,0,7,-7.9,-7.4
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(OCc2cccnc2)C1,[*]C(C)C,[*]OCc1cccnc1,[*:1]-[CH1](-[CH3])-[CH3]>>[*:1]-[OH0]-[CH2]-[cH0]1:[cH1]:[cH1]:[cH1]:[nH0]:[cH1]:1,3,3.4536000000000016,491.2683161559999,0.4121960442482879,5.208818957894223,-0.0737212754769387,-0.2011810421057775,0,8,-7.9,-7.7
COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1[C@H](CO)[C@@H]1CC[C@@H](O)C(C(C)C)C1,COC1=C(O)[C@@H](F)C=C[C@H]1[C@H]1CCC[C@H](O)[C@@H]1C(C(=O)OC(C)(C)C)[C@@H]1CC[C@@H](O)C(C(C)C)C1,[*]C([*])CO,[*]C([*])C(=O)OC(C)(C)C,[*:1]-[CH1](-[*:2])-[CH2]-[OH1]>>[*:1]-[CH1](-[*:2])-[CH0](=[OH0])-[OH0]-[CH0](-[CH3])(-[CH3])-[CH3],1,5.094800000000005,496.3200173799999,0.3499650148099165,5.330794095522551,-0.13595230491531,-0.0792059044774493,0,9,-7.9,-7.9
