INPUT-MOL-IDX,INPUT-MOL-SMI,GEN-MOL-SMI,LEAVING-FRAG-SMI,INSERTING-FRAG-SMI,PREDICTED-PROB,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)[C@H](O)C[C@H](COCc1ccccc1)SC[C@H](O)CO,[1*]C(=O)O,[4*]Cc1ccccc1,0.0006890800432302,0.4937999999999994,330.113709424,0.4677050107228501,3.598149423363431,0.1322504973098493,-0.5518505766365687,0,-5.3,-6.5
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CCCOC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,[1*]C(=O)O,[4*]CCC,0.0006882695015519,-0.2964000000000001,282.113709424,0.3854712578337412,4.0127475293690935,0.0500167444207403,-0.1372524706309059,1,-5.3,-5.7
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CN(C[C@H](O)CO)[C@H](COC(=O)O)C[C@@H](O)C(=O)O,[11*]S[11*],[5*]N([5*])C,0.0005150757497176,-1.8297999999999977,281.111066568,0.3075958724228948,3.950453829476265,-0.0278586409901059,-0.1995461705237344,2,-5.3,-5.8
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC(=O)O,0.0002917315578088,-0.2970000000000002,268.02528834400005,0.43630417703316,3.817778528934913,0.1008496636201591,-0.3322214710650861,3,-5.3,-5.6
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,COC(=O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC(=O)OC,0.000291701988317,-0.2086000000000004,282.040938408,0.5173540936885699,3.760380698484278,0.181899580275569,-0.3896193015157214,4,-5.3,-5.5
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CCCCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCCC,0.0002916761150117,1.4185,266.08240929600004,0.4279395412728737,3.73301293452932,0.0924850278598728,-0.4169870654706793,5,-5.3,-5.4
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CCCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCC,0.0002915492514148,1.0284,252.066759232,0.5539900020915628,3.842048234630502,0.2185354886785619,-0.3079517653694976,6,-5.3,-5.4
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,[11CH3]OCCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCO[11CH3],0.000291533593554,0.2648000000000003,267.07310745200004,0.4026243457339607,3.814708319144704,0.0671698323209599,-0.3352916808552955,7,-5.3,-5.2
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)CCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCC(=O)O,0.0002915277145802,0.0931000000000001,282.040938408,0.4326707206663702,3.755891009449909,0.0972162072533693,-0.3941089905500901,8,-5.3,-5.7
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,NC(=O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC(N)=O,0.0002914992801379,-0.8963000000000003,267.041272756,0.4136248828930018,3.884085871592255,0.078170369480001,-0.2659141284077444,9,-5.3,-6.0
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCc1ccccc1,[4*]C[C@H](O)CO,[4*]Cc1ccccc1,0.0002914808574132,1.8186000000000004,300.066759232,0.628902941531378,3.340438931296984,0.2934484281183772,-0.8095610687030153,10,-5.3,-6.4
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,COCCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCOC,0.0002914784708991,0.2648000000000003,268.061673852,0.4030264874447195,3.814708319144704,0.0675719740317187,-0.3352916808552955,11,-5.3,-5.2
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCCO,[4*]C[C@H](O)CO,[4*]CCO,0.0002914751530624,-0.3892999999999995,254.046023788,0.4316065361977707,3.9128251577074247,0.0961520227847699,-0.2371748422925748,12,-5.3,-5.1
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CCCCCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCCCC,0.0002913143543992,1.8086,280.09805936,0.4138178387451584,3.6616794709883695,0.0783633253321575,-0.488320529011629,13,-5.3,-5.4
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCC1CCCC1,[4*]C[C@H](O)CO,[4*]CC1CCCC1,0.0002912961354013,1.8086,292.09805936,0.5859145710170991,3.761822751834583,0.2504600576040983,-0.3881772481654169,14,-5.3,-6.7
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,NCCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCN,0.0002912572817876,-0.4228999999999999,253.0620082,0.4288616411500476,3.957518564300832,0.0934071277370467,-0.1924814356991673,15,-5.3,-5.2
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CNC(=O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC(=O)NC,0.0002912349300459,-0.6355999999999997,281.05692282,0.4318609995402015,3.803592482444998,0.0964064861272007,-0.3464075175550016,16,-5.3,-5.5
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CC(=O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC(C)=O,0.0002911782357841,0.2073999999999999,266.046023788,0.532838530739731,3.942626780683166,0.1973840173267301,-0.2073732193168336,17,-5.3,-5.5
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CC(C)CCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCC(C)C,0.0002911633637268,1.6645,280.09805936,0.5516397003268659,3.792132580644672,0.2161851869138651,-0.357867419355327,18,-5.3,-5.9
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCCCO,[4*]C[C@H](O)CO,[4*]CCCO,0.0002910075709223,0.0008000000000003,268.061673852,0.3400650667259152,3.845394472990858,0.0046105533129144,-0.3046055270091417,19,-5.3,-5.3
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CC(C)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC(C)C,0.000290984287858,1.2744,266.08240929600004,0.5682023705530896,3.872423633830018,0.2327478571400888,-0.2775763661699812,20,-5.3,-5.6
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,NC(=O)CCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCC(N)=O,0.0002908645546995,-0.5062000000000002,281.05692282,0.4131226214927779,3.825534217305883,0.077668108079777,-0.3244657826941166,21,-5.3,-5.8
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCC1CCC1,[4*]C[C@H](O)CO,[4*]CC1CCC1,0.0002908520400524,1.4185000000000003,278.082409296,0.5766101669183791,3.848951586372985,0.2411556535053782,-0.3010484136270142,22,-5.3,-5.7
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,C=CCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC=C,0.0002908509923145,0.8044,250.051109168,0.4321225246091168,4.087144937927205,0.096668011196116,-0.0628550620727947,23,-5.3,-5.3
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,COCCCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCCOC,0.0002908419119194,0.6549000000000003,282.077323916,0.3952759179411052,3.7482150479114473,0.0598214045281044,-0.4017849520885521,24,-5.3,-5.2
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCc1ccncc1,[4*]C[C@H](O)CO,[4*]Cc1ccncc1,0.000290819822112,1.2136000000000005,301.06200820000004,0.6133855571251615,3.5938512389892923,0.2779310437121607,-0.5561487610107072,25,-5.3,-5.9
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CCOC(=O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CC(=O)OCC,0.0002908169990405,0.1814999999999999,296.056588472,0.509769311471407,3.685234988520973,0.1743147980584062,-0.4647650114790265,26,-5.3,-5.8
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CC(=O)CCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[4*]C[C@H](O)CO,[4*]CCC(C)=O,0.0002908149326685,0.5974999999999999,280.061673852,0.5247827872778855,3.846444855603755,0.1893282738648847,-0.3035551443962445,27,-5.3,-5.6
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCc1cccs1,[4*]C[C@H](O)CO,[4*]Cc1cccs1,0.0002908038441091,1.8801000000000003,306.023180168,0.6297958382223591,3.747915355384879,0.2943413248093582,-0.4020846446151207,28,-5.3,-6.3
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCCS,[4*]C[C@H](O)CO,[4*]CCS,0.000290798197966,0.5482000000000002,270.023180168,0.3769145801247131,4.16780867419094,0.0414600667117122,0.0178086741909409,29,-5.3,-4.9
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCc1cccnc1,[4*]C[C@H](O)CO,[4*]Cc1cccnc1,0.0002907900779973,1.2136000000000002,301.06200820000004,0.6133855571251615,3.5848361340941874,0.2779310437121607,-0.565163865905812,30,-5.3,-6.5
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)[C@H](O)C[C@H](CNc1ccccc1)SC[C@H](O)CO,[3*]OC(=O)O,[5*]Nc1ccccc1,0.0002535997482482,0.3890999999999996,315.114043772,0.4246583978123375,3.650169390918101,0.0892038843993366,-0.499830609081898,31,-5.3,-6.7
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)N(CCSC[C@H](O)CO)c1ccccc1,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CCN([5*])c1ccccc1,0.0001976187049876,1.2574,271.08782902400003,0.6504337598367439,2.884337573834351,0.3149792464237431,-1.2656624261656484,32,-5.3,-5.5
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CS(=O)(=O)N(CCSC[C@H](O)CO)C(=O)O,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CCN([5*])S(C)(=O)=O,0.0001970331213669,-0.9875999999999994,273.0340792,0.510133250449383,3.54111571137088,0.1746787370363821,-0.6088842886291195,33,-5.3,-5.3
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)N(CCSC[C@H](O)CO)c1ccncc1,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CCN([5*])c1ccncc1,0.0001968381839105,0.6523999999999999,272.083077992,0.6310484910844318,3.1833674199881967,0.295593977671431,-0.9666325800118029,34,-5.3,-5.7
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)N(CCSC[C@H](O)CO)c1cccnc1,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CCN([5*])c1cccnc1,0.0001965452829608,0.6524000000000001,272.083077992,0.6310484910844318,3.178285881526657,0.295593977671431,-0.9717141184733428,35,-5.3,-5.3
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)N(C(=O)CSC[C@H](O)CO)C1CCC1,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CC(=O)N([5*])C1CCC1,0.0001962125970749,0.1318999999999999,263.082743644,0.6299536287661929,3.3837942681445305,0.294499115353192,-0.7662057318554689,36,-5.3,-5.3
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)N(C(=O)CSC[C@H](O)CO)C1CCCC1,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CC(=O)N([5*])C1CCCC1,0.0001956323394551,0.5219999999999998,277.09839370800006,0.654598079874066,3.3150415738343506,0.3191435664610652,-0.8349584261656489,37,-5.3,-5.5
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CC(C)N(C(=O)O)C(=O)CSC[C@H](O)CO,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CC(=O)N([5*])C(C)C,0.0001923667587107,-0.0121999999999999,251.082743644,0.6138395349091582,3.4482552986129065,0.2783850214961574,-0.701744701387093,38,-5.3,-5.0
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)N(CCCSC[C@H](O)CO)c1ccccc1,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CCCN([5*])c1ccccc1,0.0001909409766085,1.6474999999999995,285.10347908800003,0.6327510245171872,2.832953465822685,0.2972965111041864,-1.3170465341773143,39,-5.3,-5.6
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OCCSC[C@H](O)CO,[3*]OC[C@H]([4*])C[C@@H](O)C(=O)O,[3*]OCC[4*],0.0001905728131532,-0.2325999999999998,196.040544484,0.401503762791706,3.206979728481043,0.0660492493787052,-0.9430202715189564,40,-5.3,-4.9
0,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OCCCSC[C@H](O)CO,[4*]C[C@H]([4*])C[C@@H](O)C(=O)O,[4*]CCC[4*],0.0001755391131155,0.1575,210.056194548,0.4095824261506504,3.138442161587526,0.0741279127376496,-1.0115578384124737,41,-5.3,-4.8
