INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,COc1ccc(N(C[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO)C(=O)O)cc1OC,[*]O[*],[*]N([*])c1ccc(OC)c(OC)c1,[*:1]-[OH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[cH0]1:[cH1]:[cH1]:[cH0](-[OH0]-[CH3]):[cH0](-[OH0]-[CH3]):[cH1]:1,1,0.4787999999999997,419.1250023799999,0.322641888695783,3.8588469172706095,-0.0128126247172177,-0.29115308272939,0,0,-5.6,-6.3
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,COc1ccc(N(C[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO)C(=O)O)cc1OC,[*]O[*],[*]N([*])c1ccc(OC)c(OC)c1,[*:1]-[OH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[cH0]1:[cH1]:[cH1]:[cH0](-[OH0]-[CH3]):[cH0](-[OH0]-[CH3]):[cH1]:1,1,0.4787999999999997,419.1250023799999,0.322641888695783,3.8588469172706095,-0.0128126247172177,-0.29115308272939,0,1,-5.6,-5.9
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC(=O)CCCCCOC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,[*]O[*],[*]OCCCCCC(=O)O[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH0](=[OH0])-[OH0]-[*:2],1,0.0752000000000004,398.1246680319999,0.1436014742673917,4.053115411522158,-0.191853039145609,-0.0968845884778417,0,2,-5.6,-5.5
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OCCCCCC(=O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,[*]O[*],[*]OCCCCCC(=O)O[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-[CH0](=[OH0])-[OH0]-[*:2],1,0.0752000000000004,398.1246680319999,0.1867194871668239,3.9364516752584215,-0.1487350262461768,-0.2135483247415779,0,3,-5.6,-6.0
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,Nc1cccc(CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O)n1,[*]C[C@H](O)CO,[*]Cc1cccc(N)n1,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH0](-[NH2]):[nH0]:1,1,0.7958000000000001,316.0729072319999,0.5116675578936787,3.784664143161418,0.1762130444806778,-0.3653358568385814,0,4,-5.6,-6.1
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)S[C@@H]1CCCC[C@H]1O,[*]C[C@H](O)CO,[*][C@@H]1CCCC[C@H]1O,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[C@@H1]1-[CH2]-[CH2]-[CH2]-[CH2]-[C@H1]-1-[OH1],2,0.9218999999999996,308.09297397999995,0.511786549614142,4.284153750113105,0.1763320362011412,0.1341537501131053,0,5,-5.6,-6.5
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,C[C@]1(S[C@@H](COC(=O)O)C[C@@H](O)C(=O)O)C[C@@H](O)C1,[*]C[C@H](O)CO,[*][C@]1(C)C[C@H](O)C1,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[C@H0]1(-[CH3])-[CH2]-[C@H1](-[OH1])-[CH2]-1,1,0.5318,294.07732391599995,0.5012060785834294,4.272992972822385,0.1657515651704285,0.1229929728223853,0,6,-5.6,-6.1
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,N#CCCN(C[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO)C(=O)O,[*]O[*],[*]N([*])CCC#N,[*:1]-[OH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[CH2]-[CH2]-[CH0]#[NH0],2,-0.8293199999999996,336.09912197999995,0.3238977876027084,4.222943026876933,-0.0115567258102923,0.0729430268769331,0,7,-5.6,-5.5
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,N#CCCN(C[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO)C(=O)O,[*]O[*],[*]N([*])CCC#N,[*:1]-[OH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[CH2]-[CH2]-[CH0]#[NH0],2,-0.8293199999999996,336.09912197999995,0.3238977876027084,4.222943026876933,-0.0115567258102923,0.0729430268769331,0,8,-5.6,-5.8
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)S[C@@H]1CCCC[C@@H]1O,[*]C[C@H](O)CO,[*][C@@H]1CCCC[C@@H]1O,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[C@@H1]1-[CH2]-[CH2]-[CH2]-[CH2]-[C@@H1]-1-[OH1],1,0.9218999999999996,308.09297397999995,0.511786549614142,4.284153750113105,0.1763320362011412,0.1341537501131053,0,9,-5.6,-6.6
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCC(CO)CO,[*]C[C@H](O)CO,[*]CC(CO)CO,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1],1,-0.7807999999999997,298.072238536,0.3277711520379787,4.134071911597895,-0.0076833613750221,-0.0159280884021049,0,10,-5.6,-5.4
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OCC(=O)N(CCO)C[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,[*]O[*],[*]OCC(=O)N([*])CCO,[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[CH0](=[OH0])-[NH0](-[*:2])-[CH2]-[CH2]-[OH1],2,-2.2074999999999982,385.10426693599993,0.188832382896142,4.160458077316059,-0.1466221305168587,0.0104580773160591,0,11,-5.6,-5.8
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OCC(=O)N(CCO)C[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,[*]O[*],[*]OCC(=O)N([*])CCO,[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[CH0](=[OH0])-[NH0](-[*:2])-[CH2]-[CH2]-[OH1],2,-2.2074999999999982,385.10426693599993,0.188832382896142,4.160458077316059,-0.1466221305168587,0.0104580773160591,0,12,-5.6,-5.7
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O)NCCOCCO,[*]C[C@H](O)CO,[*]CC(=O)NCCOCCO,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH0](=[OH0])-[NH1]-[CH2]-[CH2]-[OH0]-[CH2]-[CH2]-[OH1],1,-1.2564999999999975,355.0937022519999,0.1990224947376949,3.700699723677486,-0.1364320186753058,-0.4493002763225133,0,13,-5.6,-5.2
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCc1cc[nH]n1,[*]C[C@H](O)CO,[*]Cc1cc[nH]n1,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[cH0]1:[cH1]:[cH1]:[nH1]:[nH0]:1,1,0.5416999999999996,290.057257168,0.5098221483713408,4.36585056248547,0.1743676349583399,0.2158505624854703,0,14,-5.6,-6.0
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H]1CCCN1C[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,[*]O[*],[*]OC[C@@H]1CCCN1[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[C@@H1]1-[CH2]-[CH2]-[CH2]-[NH0]-1-[*:2],1,-0.5639999999999992,367.1300877599999,0.3008031398032033,4.301411153189003,-0.0346513736097974,0.1514111531890032,0,15,-5.6,-6.2
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)[C@H](O)C[C@H](COC[C@@H]1CCCN1C(=O)O)SC[C@H](O)CO,[*]O[*],[*]OC[C@@H]1CCCN1[*],[*:1]-[OH0]-[*:2]>>[*:1]-[OH0]-[CH2]-[C@@H1]1-[CH2]-[CH2]-[CH2]-[NH0]-1-[*:2],1,-0.5639999999999992,367.1300877599999,0.3237965626204791,4.194593401709714,-0.0116579507925216,0.0445934017097142,0,16,-5.6,-6.6
