INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SCCO,[*]C[C@H](O)CO,[*]CCO,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH2]-[OH1],32,-0.3893,254.046023788,0.4316065361977707,3.9128251577074247,0.0961520227847699,-0.2371748422925748,0,0,-5.4,-5.0
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CN(C)CCS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[*]C[C@H](O)CO,[*]CCN(C)C,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH2]-[NH0](-[CH3])-[CH3],13,0.1800000000000001,281.09330832800003,0.5137229453527857,3.844194119106209,0.1782684319397849,-0.3058058808937902,0,1,-5.4,-5.3
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,C[C@H](O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[*]C[C@H](O)CO,[*]C[C@H](C)O,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[C@H1](-[CH3])-[OH1],13,-0.0008,268.061673852,0.4533153186754215,4.226086010392561,0.1178608052624207,0.0760860103925615,0,2,-5.4,-5.4
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,C[C@@H](O)CS[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[*]C[C@H](O)CO,[*]C[C@@H](C)O,[*:1]-[CH2]-[C@H1](-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[C@@H1](-[CH3])-[OH1],13,-0.0008,268.061673852,0.4533153186754215,4.226086010392561,0.1178608052624207,0.0760860103925615,0,3,-5.4,-5.3
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)OC[C@H](O)CO,[*]S[*],[*]O[*],[*:1]-[SH0]-[*:2]>>[*:1]-[OH0]-[*:2],682,-1.7449999999999977,268.07943209200005,0.3062025719681743,3.831730242135052,-0.0292519414448265,-0.3182697578649476,0,4,-5.4,-5.4
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)OC[C@H](O)CO,[*]S[*],[*]O[*],[*:1]-[SH0]-[*:2]>>[*:1]-[OH0]-[*:2],682,-1.7449999999999977,268.07943209200005,0.3062025719681743,3.831730242135052,-0.0292519414448265,-0.3182697578649476,0,5,-5.4,-5.7
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CN(C[C@H](O)CO)[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[*]S[*],[*]N([*])C,[*:1]-[SH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[CH3],51,-1.8297999999999983,281.111066568,0.3075958724228948,3.950453829476265,-0.0278586409901059,-0.1995461705237344,0,6,-5.4,-5.5
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,CN(C[C@H](O)CO)[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[*]S[*],[*]N([*])C,[*:1]-[SH0]-[*:2]>>[*:1]-[NH0](-[*:2])-[CH3],51,-1.829799999999998,281.111066568,0.3075958724228948,3.950453829476265,-0.0278586409901059,-0.1995461705237344,0,7,-5.4,-5.6
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(C[C@H](O)CO)N[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[*]S[*],[*]NC([*])=O,[*:1]-[SH0]-[*:2]>>[*:1]-[NH1]-[CH0](-[*:2])=[OH0],14,-2.255299999999998,295.090331124,0.2564990833471968,3.717495014153231,-0.0789554300658039,-0.4325049858467684,0,8,-5.4,-5.8
O=C(O)OC[C@@H](C[C@@H](O)C(=O)O)SC[C@H](O)CO,O=C(C[C@H](O)CO)N[C@@H](COC(=O)O)C[C@@H](O)C(=O)O,[*]S[*],[*]NC([*])=O,[*:1]-[SH0]-[*:2]>>[*:1]-[NH1]-[CH0](-[*:2])=[OH0],14,-2.255299999999998,295.090331124,0.2564990833471968,3.717495014153231,-0.0789554300658039,-0.4325049858467684,0,9,-5.4,-6.0
