INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
NC(=N[C@H]1CO[C@H](C(O)O)C1)C1=CC(=O)C(=O)NC1=O,NC(=N[C@H]1CO[C@H](CF)C1)C1=CC(=O)C(=O)NC1=O,[*]C(O)O,[*]CF,[*:1]-[CH1](-[OH1])-[OH1]>>[*:1]-[CH2]-[FH0],1,-1.3774999999999988,269.081184084,0.2838420995799944,4.561994645325706,0.1426360937048198,-0.0380053546742944,0,0,-6.9,-6.7
NC(=N[C@H]1CO[C@H](C(O)O)C1)C1=CC(=O)C(=O)NC1=O,NC(=N[C@H]1CO[C@H](CCl)C1)C1=CC(=O)C(=O)NC1=O,[*]C(O)O,[*]CCl,[*:1]-[CH1](-[OH1])-[OH1]>>[*:1]-[CH2]-[ClH0],1,-1.108199999999999,285.051633544,0.2245707680518793,4.529701154201446,0.0833647621767047,-0.0702988457985549,0,1,-6.9,-6.5
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)c2ccccc2)C=C1,[*]C1OCCO1,[*]c1ccccc1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1,7,2.2783,255.137162164,0.6646954790679012,3.855114077055081,0.0884564747589025,-0.9248859229449192,1,0,-6.4,-6.0
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CO[C@H](C)N=C(N)[C@H]1C=CC(C)=NC1=O,[*]C1OCCO1,[*]OC,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[OH0]-[CH3],6,0.5095,209.11642672,0.5430957199286631,4.759072933031142,-0.0331432843803355,-0.0209270669688583,1,1,-6.4,-5.8
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2CCCO2)C=C1,[*]C1OCCO1,[*]C1CCCO1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH1]1-[CH2]-[CH2]-[CH2]-[OH0]-1,4,1.0846,249.147726848,0.6003827926032935,4.623802183215247,0.0241437882942948,-0.1561978167847533,1,2,-6.4,-6.5
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2CCOCC2)C=C1,[*]C1OCCO1,[*]C1CCOCC1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH1]1-[CH2]-[CH2]-[OH0]-[CH2]-[CH2]-1,4,1.3322,263.163376912,0.6161580357435595,4.330860085763353,0.0399190314345608,-0.449139914236647,1,3,-6.4,-6.5
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2CC2)C=C1,[*]C1OCCO1,[*]C1CC1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH1]1-[CH2]-[CH2]-1,4,1.3156,219.137162164,0.5741831133709467,4.465057690291121,-0.0020558909380519,-0.3149423097088792,1,4,-6.4,-5.9
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)c2ccccn2)C=C1,[*]C1OCCO1,[*]c1ccccn1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[nH0]:1,4,1.6733,256.132411132,0.6594836804240704,4.184793612613861,0.0832446761150716,-0.5952063873861393,1,5,-6.4,-6.4
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2CCCCC2)C=C1,[*]C1OCCO1,[*]C1CCCCC1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH1]1-[CH2]-[CH2]-[CH2]-[CH2]-[CH2]-1,4,2.485900000000001,261.184112356,0.6261427829009851,4.157864149624022,0.0499037785919864,-0.6221358503759786,1,6,-6.4,-6.4
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC(=O)[C@H](C)N=C(N)[C@H]1C=CC(C)=NC1=O,[*]C1OCCO1,[*]C(C)=O,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH0](-[CH3])=[OH0],3,0.4946,221.11642672,0.555748266567975,4.612494388476657,-0.0204907377410236,-0.1675056115233433,1,7,-6.4,-6.0
