INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
NC(=N[C@H]1CO[C@H](C(O)O)C1)C1=CC(=O)C(=O)NC1=O,NC(=N[C@H]1CO[C@H](CF)C1)C1=CC(=O)C(=O)NC1=O,[*]C(O)O,[*]CF,[*:1]-[CH1](-[OH1])-[OH1]>>[*:1]-[CH2]-[FH0],1,-1.3774999999999988,269.081184084,0.2838420995799944,4.561994645325706,0.1426360937048198,-0.0380053546742944,0,0,-7.3,-6.5
NC(=N[C@H]1CO[C@H](C(O)O)C1)C1=CC(=O)C(=O)NC1=O,NC(=N[C@H]1CO[C@H](CCl)C1)C1=CC(=O)C(=O)NC1=O,[*]C(O)O,[*]CCl,[*:1]-[CH1](-[OH1])-[OH1]>>[*:1]-[CH2]-[ClH0],1,-1.108199999999999,285.051633544,0.2245707680518793,4.529701154201446,0.0833647621767047,-0.0702988457985549,0,1,-7.3,-6.5
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)[C@@H]2CCCOC2)C=C1,[*]C1OCCO1,[*][C@@H]1CCCOC1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[C@@H1]1-[CH2]-[CH2]-[CH2]-[OH0]-[CH2]-1,1,1.3322,263.163376912,0.6161580357435595,4.5776469576419,0.0399190314345608,-0.2023530423581006,1,0,-6.5,-6.4
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)c2ccc(Br)cc2)C=C1,[*]C1OCCO1,[*]c1ccc(Br)cc1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[cH0]1:[cH1]:[cH1]:[cH0](-[BrH0]):[cH1]:[cH1]:1,1,3.040800000000001,333.047674232,0.6818533504291905,3.9596464837445353,0.1056143461201918,-0.8203535162554649,1,1,-6.5,-6.3
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2CCC3(CC2)OCCO3)C=C1,[*]C1OCCO1,[*]C1CCC2(CC1)OCCO2,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH1]1-[CH2]-[CH2]-[CH0]2(-[CH2]-[CH2]-1)-[OH0]-[CH2]-[CH2]-[OH0]-2,1,1.8389,319.18959166,0.6350267805356826,4.867630853386689,0.0587877762266839,0.0876308533866891,1,2,-6.5,-7.6
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC(=O)OC(OC(C)=O)[C@H](C)N=C(N)[C@H]1C=CC(C)=NC1=O,[*]C1OCCO1,[*]C(OC(C)=O)OC(C)=O,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH1](-[OH0]-[CH0](-[CH3])=[OH0])-[OH0]-[CH0](-[CH3])=[OH0],1,0.3579,309.132470708,0.3385822936503794,4.46551220324422,-0.2376567106586192,-0.3144877967557802,1,3,-6.5,-6.2
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)c2cc(Cl)ccc2Cl)C=C1,[*]C1OCCO1,[*]c1cc(Cl)ccc1Cl,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[cH0]1:[cH1]:[cH0](-[ClH0]):[cH1]:[cH1]:[cH0]:1-[ClH0],1,3.5851000000000024,323.05921746,0.681858331784538,4.051146734254536,0.1056193274755393,-0.7288532657454638,1,4,-6.5,-6.6
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CCC(C)[C@H](C)N=C(N)[C@H]1C=CC(C)=NC1=O,[*]C1OCCO1,[*]C(C)CC,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[CH1](-[CH3])-[CH2]-[CH3],1,1.9517,235.168462292,0.5974704274159998,4.697549646756196,0.0212314231070011,-0.0824503532438045,1,5,-6.5,-5.9
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)c2ccc(OC(F)(F)F)cc2)C=C1,[*]C1OCCO1,[*]c1ccc(OC(F)(F)F)cc1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[cH0]1:[cH1]:[cH1]:[cH0](-[OH0]-[CH0](-[FH0])(-[FH0])-[FH0]):[cH1]:[cH1]:1,1,3.1769000000000007,339.119461412,0.6759595469512845,3.928786257270497,0.0997205426422858,-0.8512137427295032,1,6,-6.5,-6.9
CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)C2OCCO2)C=C1,CC1=NC(=O)[C@@H](C(N)=N[C@@H](C)c2ccc([N+](=O)[O-])cc2)C=C1,[*]C1OCCO1,[*]c1ccc([N+](=O)[O-])cc1,[*:1]-[CH1]1-[OH0]-[CH2]-[CH2]-[OH0]-1>>[*:1]-[cH0]1:[cH1]:[cH1]:[cH0](-[N+H0](=[OH0])-[O-H0]):[cH1]:[cH1]:1,1,2.1865,300.122240372,0.3973041146904997,3.9322058637216735,-0.1789348896184989,-0.8477941362783268,1,7,-6.5,-7.2
