INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
Cc1cc(O)c(F)cc1CC(=O)O,Cc1cc(O)c(F)cc1CC(C)C,[*]CC(=O)O,[*]CC(C)C,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH1](-[CH3])-[CH3],10,3.038220000000002,182.11069332,0.7449232139871188,2.1617777590586,0.0137428479243291,-0.0082222409414001,0,0,-5.6,-5.4
Cc1cc(O)c(F)cc1CC(=O)O,COc1cc(F)c(O)cc1C,[*]CC(=O)O,[*]OC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[OH0]-[CH3],17,1.84832,156.058657748,0.6718862420941124,1.917241185103597,-0.0592941239686772,-0.2527588148964028,0,1,-5.6,-5.1
Cc1cc(O)c(F)cc1CC(=O)O,Cc1cc(O)c(F)cc1C(C)C,[*]CC(=O)O,[*]C(C)C,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH1](-[CH3])-[CH3],14,2.963120000000002,168.095043256,0.6830817279517148,2.0978189807626766,-0.0480986381110748,-0.0721810192373233,0,2,-5.6,-5.2
Cc1cc(O)c(F)cc1CC(=O)O,CCCc1cc(F)c(O)cc1C,[*]CC(=O)O,[*]CCC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH2]-[CH3],14,2.7922200000000017,168.095043256,0.7194893195046322,2.1013833883309143,-0.0116910465581574,-0.0686166116690856,0,3,-5.6,-5.2
Cc1cc(O)c(F)cc1CC(=O)O,Cc1cc(O)c(F)cc1C(N)=O,[*]CC(=O)O,[*]C(N)=O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](-[NH2])=[OH0],32,0.9386200000000002,169.053906716,0.6566275189649767,2.088220469596422,-0.0745528470978129,-0.081779530403578,0,4,-5.6,-5.6
Cc1cc(O)c(F)cc1CC(=O)O,CCc1cc(F)c(O)cc1C,[*]CC(=O)O,[*]CC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH3],24,2.4021200000000014,154.079393192,0.6581184554430826,2.0934740763502795,-0.0730619106197071,-0.0765259236497204,0,5,-5.6,-5.4
Cc1cc(O)c(F)cc1CC(=O)O,Cc1cc(O)c(F)cc1C(=O)O,[*]CC(=O)O,[*]C(=O)O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](=[OH0])-[OH1],212,1.5379199999999995,170.037922304,0.6715762783823641,1.993785233864413,-0.0596040876804255,-0.1762147661355868,0,6,-5.6,-5.8
Cc1cc(O)c(F)cc1CC(=O)O,Cc1cc(O)c(F)cc1CO,[*]CC(=O)O,[*]CO,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[OH1],49,1.3320199999999998,156.058657748,0.6435681260397029,2.2103785856341,-0.0876122400230867,0.0403785856340999,0,7,-5.6,-5.4
Cc1cc(O)c(F)cc1CC(=O)O,Cc1cc(O)c(F)cc1C(F)(F)F,[*]CC(=O)O,[*]C(F)(F)F,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](-[FH0])(-[FH0])-[FH0],11,2.858520000000001,194.035477692,0.629334340352501,2.2774579318270085,-0.1018460257102886,0.1074579318270085,0,8,-5.6,-5.9
Cc1cc(O)c(F)cc1CC(=O)O,CNC(=O)c1cc(F)c(O)cc1C,[*]CC(=O)O,[*]C(=O)NC,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH0](=[OH0])-[NH1]-[CH3],15,1.19932,183.06955678,0.6868516377047009,2.0581678043074696,-0.0443287283580887,-0.1118321956925303,0,9,-5.6,-5.9
Cc1cc(O)c(F)cc1CC(=O)O,CC(=O)Nc1cc(F)c(O)cc1C,[*]CC(=O)O,[*]NC(C)=O,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[NH1]-[CH0](-[CH3])=[OH0],14,1.79812,183.06955678,0.6519933830788763,1.9346967635834869,-0.0791869829839133,-0.235303236416513,0,10,-5.6,-5.4
Cc1cc(O)c(F)cc1CC(=O)O,Cc1cc(O)c(F)cc1CCN,[*]CC(=O)O,[*]CCN,[*:1]-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH2]-[NH2],10,1.34092,169.090292224,0.7013826633274446,2.2680867537155294,-0.0297977027353451,0.0980867537155294,0,11,-5.6,-5.5
