INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@@H](C)CC(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1],12,0.4434999999999996,330.026955352,0.5295478652487021,5.844060251376345,0.0,-0.0159397486236541,0,0,-6.2,-6.0
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@H](C[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O)C(=O)O,[*][C@H](C)CC(=O)O,[*]C[C@@H](C)C(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[C@@H1](-[CH3])-[CH0](=[OH0])-[OH1],3,0.4434999999999996,330.026955352,0.5295478652487021,5.826572297820468,0.0,-0.0334277021795319,0,1,-6.2,-6.7
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,COC(=O)C[C@@H](C)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@H](C)CC(=O)OC,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH0]-[CH3],3,0.5318999999999994,344.042605416,0.4837833207078602,5.714414532979382,-0.0457645445408419,-0.1455854670206173,0,2,-6.2,-6.2
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@H](C[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O)C(=O)O,[*][C@H](C)CC(=O)O,[*]C[C@H](C)C(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[C@H1](-[CH3])-[CH0](=[OH0])-[OH1],3,0.4434999999999996,330.026955352,0.5295478652487021,5.826572297820468,0.0,-0.0334277021795319,0,3,-6.2,-6.1
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@]1(CCC(=O)O)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]CCC(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH2]-[CH0](=[OH0])-[OH1],3,0.1974999999999996,316.011305288,0.5242790577267766,5.652005878444857,-0.0052688075219254,-0.2079941215551422,0,4,-6.2,-6.6
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,COC(=O)C[C@H](C)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@@H](C)CC(=O)OC,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH0]-[CH3],3,0.5318999999999994,344.042605416,0.4837833207078602,5.714414532979382,-0.0457645445408419,-0.1455854670206173,0,5,-6.2,-6.9
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,COC(=O)C(C)(C)C[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]CC(C)(C)C(=O)OC,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](-[CH3])(-[CH3])-[CH0](=[OH0])-[OH0]-[CH3],3,0.9219999999999996,358.05825548,0.4860044345833338,5.66591023437578,-0.0435434306653683,-0.1940897656242191,0,6,-6.2,-6.0
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,CCOC(=O)C1(C[C@]2(C)O[C@@H]3OP(OP(O)O)O[C@@H]3[C@H]2O)CC1,[*][C@H](C)CC(=O)O,[*]CC1(C(=O)OCC)CC1,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0]1(-[CH0](=[OH0])-[OH0]-[CH2]-[CH3])-[CH2]-[CH2]-1,2,1.0660999999999996,370.05825548,0.4650413877690513,5.607128849187415,-0.0645064774796508,-0.2528711508125845,0,7,-6.2,-6.1
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,COC(=O)[C@H](C)C[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]C[C@@H](C)C(=O)OC,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[C@@H1](-[CH3])-[CH0](=[OH0])-[OH0]-[CH3],2,0.5318999999999994,344.042605416,0.4837833207078602,5.704022500012349,-0.0457645445408419,-0.1559774999876504,0,8,-6.2,-6.4
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,CC(C)(CC[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O)C(=O)O,[*][C@H](C)CC(=O)O,[*]CCC(C)(C)C(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH2]-[CH0](-[CH3])(-[CH3])-[CH0](=[OH0])-[OH1],2,1.2236999999999996,358.05825548,0.5169052517883486,5.647356388221934,-0.0126426134603535,-0.2126436117780654,0,9,-6.2,-6.6
