INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,COC(=O)C[C@H](C)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@@H](C)CC(=O)OC,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH0]-[CH3],3,0.5318999999999994,344.042605416,0.4837833207078602,5.714414532979382,-0.0457645445408419,-0.1455854670206173,0,0,-6.9,-6.9
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@]1([C@@H](CC(=O)O)C2CCC2)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@@H](CC(=O)O)C1CCC1,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@@H1](-[CH2]-[CH0](=[OH0])-[OH1])-[CH1]1-[CH2]-[CH2]-[CH2]-1,2,1.2236999999999996,370.05825548,0.5090573076278553,5.696271302323599,-0.0204905576208468,-0.1637286976764009,0,1,-6.9,-6.2
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,CCOC(=O)C1(C[C@]2(C)O[C@@H]3OP(OP(O)O)O[C@@H]3[C@H]2O)CC1,[*][C@H](C)CC(=O)O,[*]CC1(C(=O)OCC)CC1,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0]1(-[CH0](=[OH0])-[OH0]-[CH2]-[CH3])-[CH2]-[CH2]-1,2,1.0660999999999996,370.05825548,0.4650413877690513,5.607128849187415,-0.0645064774796508,-0.2528711508125845,0,2,-6.9,-6.0
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,COC(=O)C(C)(C)C[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]CC(C)(C)C(=O)OC,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](-[CH3])(-[CH3])-[CH0](=[OH0])-[OH0]-[CH3],3,0.9219999999999996,358.05825548,0.4860044345833338,5.66591023437578,-0.0435434306653683,-0.1940897656242191,0,3,-6.9,-6.2
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,COC(=O)C(C)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]C(C)C(=O)OC,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH1](-[CH3])-[CH0](=[OH0])-[OH0]-[CH3],1,0.1417999999999996,330.026955352,0.4875364776248526,5.790470411028013,-0.0420113876238495,-0.069529588971986,0,4,-6.9,-6.2
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,CC[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@H](CC)CC(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@H1](-[CH2]-[CH3])-[CH2]-[CH0](=[OH0])-[OH1],2,0.8335999999999995,344.042605416,0.5167224700267062,5.804056016495865,-0.0128253952219958,-0.0559439835041342,0,5,-6.9,-6.5
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@]1(Cc2ccccc2C(=O)O)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]Cc1ccccc1C(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]:1-[CH0](=[OH0])-[OH1],1,1.2735999999999996,378.026955352,0.5587860630115018,5.116188381444294,0.0292381977627996,-0.7438116185557053,0,6,-6.9,-7.5
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@]1(CC2(C(=O)O)CC2)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]CC1(C(=O)O)CC1,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0]1(-[CH0](=[OH0])-[OH1])-[CH2]-[CH2]-1,2,0.5875999999999995,342.026955352,0.5292818147331342,5.797152219864467,-0.0002660505155679,-0.0628477801355327,0,7,-6.9,-6.7
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@]1([C@@H](CC(=O)O)c2ccccc2)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@@H](CC(=O)O)c1ccccc1,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@@H1](-[CH2]-[CH0](=[OH0])-[OH1])-[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]:1,1,1.5912000000000002,392.042605416,0.5323995795760792,5.2070338066311646,0.002851714327377,-0.6529661933688349,0,8,-6.9,-7.3
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@]1(CC(=O)NCC(N)=O)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*]CC(=O)NCC(N)=O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[CH2]-[CH0](=[OH0])-[NH1]-[CH2]-[CH0](-[NH2])=[OH0],1,-1.675699999999999,358.033103352,0.3481227161040325,5.493605531772714,-0.1814251491446696,-0.366394468227285,0,9,-6.9,-6.3
