INPUT-MOL-SMI,GEN-MOL-SMI,OLD-FRAG,NEW-FRAG,USED-REPLACEMENT-SMILES,USED-REPLACEMENT-FREQ,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,INPUT-MOL-IDX,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE
C[C@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,C[C@@H](CC(=O)O)[C@]1(C)O[C@@H]2OP(OP(O)O)O[C@@H]2[C@H]1O,[*][C@H](C)CC(=O)O,[*][C@@H](C)CC(=O)O,[*:1]-[C@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1]>>[*:1]-[C@@H1](-[CH3])-[CH2]-[CH0](=[OH0])-[OH1],12,0.4434999999999996,330.026955352,0.5295478652487021,5.844060251376345,0.0,-0.0159397486236541,0,0,-6.9,-6.1
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CN2CCC([C@@H](NCOCC(N)=O)[C@H](O)COP(=O)(O)O)CC2)=C1,[*]C(CO)CO,[*]CC(N)=O,[*:1]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH0](-[NH2])=[OH0],11,-0.7668999999999977,448.208686026,0.1114766879284288,4.751649405346139,-0.0026101359496893,-0.1183505946538607,1,0,-6.5,-7.3
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CN2CCC([C@@H](NCOCCO)[C@H](O)COP(=O)(O)O)CC2)=C1,[*]C(CO)CO,[*]CCO,[*:1]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH2]-[OH1],61,-0.2598999999999989,435.213437058,0.1211759370824948,4.707147986436867,0.0070891132043766,-0.1628520135631328,1,1,-6.5,-6.4
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CN2CCC([C@@H](NCOCCN(C)C)[C@H](O)COP(=O)(O)O)CC2)=C1,[*]C(CO)CO,[*]CCN(C)C,[*:1]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH2]-[NH0](-[CH3])-[CH3],10,0.3094000000000033,462.260721598,0.1323432143649934,4.6812327434733145,0.0182563904868752,-0.1887672565266855,1,2,-6.5,-6.6
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CN2CCC([C@@H](NCOCC(F)(F)F)[C@H](O)COP(=O)(O)O)CC2)=C1,[*]C(CO)CO,[*]CC(F)(F)F,[*:1]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH0](-[FH0])(-[FH0])-[FH0],10,1.3100999999999996,473.190257002,0.1533452150588677,4.770252469875504,0.0392583911807495,-0.0997475301244961,1,3,-6.5,-6.7
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,COCCOCN[C@H](C1CCN(CC2=CC(C)C=NC2)CC1)[C@H](O)COP(=O)(O)O,[*]C(CO)CO,[*]CCOC,[*:1]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH2]-[OH0]-[CH3],18,0.3942000000000017,449.229087122,0.1364035463919112,4.647415888862622,0.022316722513793,-0.2225841111373778,1,4,-6.5,-7.0
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CN2CCC([C@@H](NCOC(C)(C)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,[*]C(CO)CO,[*]C(C)(C)CO,[*:1]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1]>>[*:1]-[CH0](-[CH3])(-[CH3])-[CH2]-[OH1],14,0.5187000000000009,463.244737186,0.1588935124340351,4.87426966444564,0.0448066885559169,0.0042696644456396,1,5,-6.5,-6.3
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CN2CCC([C@@H](NCOCC(C)(C)O)[C@H](O)COP(=O)(O)O)CC2)=C1,[*]C(CO)CO,[*]CC(C)(C)O,[*:1]-[CH1](-[CH2]-[OH1])-[CH2]-[OH1]>>[*:1]-[CH2]-[CH0](-[CH3])(-[CH3])-[OH1],15,0.5187000000000009,463.244737186,0.1210515778518003,4.8234901169343285,0.0069647539736821,-0.0465098830656716,1,6,-6.5,-6.6
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CC[C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)=C1,[*]N1CCC([*])CC1,[*]C[*],[*:1]-[NH0]1-[CH2]-[CH2]-[CH1](-[*:2])-[CH2]-[CH2]-1>>[*:1]-[CH2]-[*:2],10,-0.8307999999999991,396.1661525179999,0.132550180434347,4.952399228268791,0.0184633565562288,0.082399228268791,1,7,-6.5,-5.9
CC1C=NCC(CN2CCC([C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)CC2)=C1,CC1C=NCC(CC[C@@H](NCOC(CO)CO)[C@H](O)COP(=O)(O)O)=C1,[*]N1CCC([*])CC1,[*]C[*],[*:1]-[NH0]1-[CH2]-[CH2]-[CH1](-[*:2])-[CH2]-[CH2]-1>>[*:1]-[CH2]-[*:2],10,-0.8307999999999991,396.1661525179999,0.132550180434347,4.952399228268791,0.0184633565562288,0.082399228268791,1,8,-6.5,-6.5
